,round,pick,player,team,info,overall,unique_str
62,7.0,3.0,Cam Akers,Eatin W's,RB - LA,63,"Akers, C. RB LA"
63,7.0,4.0,A.J. Green,ganggreen215,WR - CIN,64,"Green, A. WR CIN"
64,7.0,5.0,Antonio Gibson,Gronk's New Groove,RB - WAS,65,"Gibson, A. RB WAS"
65,7.0,6.0,Stefon Diggs,Do it for George,WR - BUF,66,"Diggs, S. WR BUF"
66,7.0,7.0,T.Y. Hilton,The Wet Market Pangolins,WR - IND,67,"Hilton, T. WR IND"
67,7.0,8.0,Austin Hooper,KaepernicksRevenge,TE - CLE,68,"Hooper, A. TE CLE"
68,7.0,9.0,Will Fuller,Triple Crown,WR - HOU,69,"Fuller, W. WR HOU"
69,7.0,10.0,D'Andre Swift,Fantasy Football Team,RB - DET,70,"Swift, D. RB DET"
70,8.0,1.0,Josh Allen,Fantasy Football Team,QB - BUF,71,"Allen, J. QB BUF"
71,8.0,2.0,Leonard Fournette,Triple Crown,RB - TB,72,"Fournette, L. RB TB"
72,8.0,3.0,Marvin Jones,KaepernicksRevenge,WR - DET,73,"Jones, M. WR DET"
73,8.0,4.0,Kareem Hunt,The Wet Market Pangolins,RB - CLE,74,"Hunt, K. RB CLE"
74,8.0,5.0,Julian Edelman,Do it for George,WR - NE,75,"Edelman, J. WR NE"
75,8.0,6.0,DeVante Parker,Gronk's New Groove,WR - MIA,76,"Parker, D. WR MIA"
76,8.0,7.0,CeeDee Lamb,ganggreen215,WR - DAL,77,"Lamb, C. WR DAL"
77,8.0,8.0,Zack Moss,Eatin W's,RB - BUF,78,"Moss, Z. RB BUF"
78,8.0,9.0,Chris Manhertz,Tight Ends Spread Sheets,TE - CAR,79,"Manhertz, C. TE CAR"
79,8.0,10.0,Michael Gallup,The Longest Yard,WR - DAL,80,"Gallup, M. WR DAL"
80,9.0,1.0,Christian Kirk,The Longest Yard,WR - ARI,81,"Kirk, C. WR ARI"
81,9.0,2.0,Preston Williams,Tight Ends Spread Sheets,WR - MIA,82,"Williams, P. WR MIA"
82,9.0,3.0,Diontae Johnson,Eatin W's,WR - PIT,83,"Johnson, D. WR PIT"
83,9.0,4.0,Ronald Jones,ganggreen215,RB - TB,84,"Jones, R. RB TB"
84,9.0,5.0,Evan Engram,Gronk's New Groove,TE - NYG,85,"Engram, E. TE NYG"
85,9.0,6.0,James White,Do it for George,RB - NE,86,"White, J. RB NE"
86,9.0,7.0,Brandin Cooks,The Wet Market Pangolins,WR - HOU,87,"Cooks, B. WR HOU"
87,9.0,8.0,David Montgomery,KaepernicksRevenge,RB - CHI,88,"Montgomery, D. RB CHI"
88,9.0,9.0,Russell Wilson,Triple Crown,QB - SEA,89,"Wilson, R. QB SEA"
89,9.0,10.0,Jordan Howard,Fantasy Football Team,RB,90,"Howard, J. RB Free Agent"
90,10.0,1.0,Tarik Cohen,Fantasy Football Team,RB - CHI,91,"Cohen, T. RB CHI"
91,10.0,2.0,Rob Gronkowski,Triple Crown,TE - TB,92,"Gronkowski, R. TE TB"
92,10.0,3.0,Sterling Shepard,KaepernicksRevenge,WR - NYG,93,"Shepard, S. WR NYG"
93,10.0,4.0,Hunter Henry,The Wet Market Pangolins,TE - LAC,94,"Henry, H. TE LAC"
94,10.0,5.0,Matt Ryan,Do it for George,QB - ATL,95,"Ryan, M. QB ATL"
95,10.0,6.0,Jamison Crowder,Gronk's New Groove,WR - NYJ,96,"Crowder, J. WR NYJ"
96,10.0,7.0,Jerry Jeudy,ganggreen215,WR - DEN,97,"Jeudy, J. WR DEN"
97,10.0,8.0,Matt Breida,Eatin W's,RB - MIA,98,"Breida, M. RB MIA"
98,10.0,9.0,Phillip Lindsay,Tight Ends Spread Sheets,RB - DEN,99,"Lindsay, P. RB DEN"
99,10.0,10.0,J.K. Dobbins,The Longest Yard,RB - BAL,100,"Dobbins, J. RB BAL"
100,11.0,1.0,John Brown,The Longest Yard,WR - BUF,101,"Brown, J. WR BUF"
101,11.0,2.0,Henry Ruggs III,Tight Ends Spread Sheets,WR - LV,102,"Ruggs III, H. WR LV"
102,11.0,3.0,Chris Thompson,Eatin W's,RB - JAX,103,"Thompson, C. RB JAX"
103,11.0,4.0,Kerryon Johnson,ganggreen215,RB - DET,104,"Johnson, K. RB DET"
104,11.0,5.0,Deebo Samuel,Gronk's New Groove,WR - SF,105,"Samuel, D. WR SF"
105,11.0,6.0,Marlon Mack,Do it for George,RB - IND,106,"Mack, M. RB IND"
106,11.0,7.0,Tyler Higbee,The Wet Market Pangolins,TE - LA,107,"Higbee, T. TE LA"
107,11.0,8.0,Carson Wentz,KaepernicksRevenge,QB - PHI,108,"Wentz, C. QB PHI"
108,11.0,9.0,Darius Slayton,Triple Crown,WR - NYG,109,"Slayton, D. WR NYG"
109,11.0,10.0,Emmanuel Sanders,Fantasy Football Team,WR - NO,110,"Sanders, E. WR NO"
110,12.0,1.0,Latavius Murray,Fantasy Football Team,RB - NO,111,"Murray, L. RB NO"
111,12.0,2.0,Tom Brady,Triple Crown,QB - TB,112,"Brady, T. QB TB"
112,12.0,3.0,Harrison Butker,KaepernicksRevenge,K - KC,113,"Butker, H. K KC"
113,12.0,4.0,Joe Burrow,The Wet Market Pangolins,QB - CIN,114,"Burrow, J. QB CIN"
114,12.0,5.0,Anthony Miller,Do it for George,WR - CHI,115,"Miller, A. WR CHI"
115,12.0,6.0,Damien Harris,Gronk's New Groove,RB - NE,116,"Harris, D. RB NE"
116,12.0,7.0,Mike Gesicki,ganggreen215,TE - MIA,117,"Gesicki, M. TE MIA"
117,12.0,8.0,Ryquell Armstead,Eatin W's,RB - JAX,118,"Armstead, R. RB JAX"
118,12.0,9.0,Boston Scott,Tight Ends Spread Sheets,RB - PHI,119,"Scott, B. RB PHI"
