Date,Week,TransType,Player,Position,Team,From,To,By,TransCosts
2020-10-14 07:43:00,6,Lineup,Le'Veon Bell,RB,KC,R/W/T,RB,Matt,
2020-10-14 12:17:00,6,Lineup,Jerry Jeudy,WR,DEN,BN,WR,Liam via Mobile Device,
2020-10-14 12:17:00,6,Lineup,Laviska Shenault Jr.,WR,JAX,WR,BN,Liam via Mobile Device,
2020-10-14 13:18:00,6,Lineup,Le'Veon Bell,RB,KC,RB,BN,Matt,
2020-10-14 13:18:00,6,Lineup,James White,RB,NE,BN,RB,Matt,
2020-10-14 17:01:00,6,Lineup,Henry Ruggs III,WR,LV,WR,BN,f,
2020-10-14 17:01:00,6,Lineup,N'Keal Harry,WR,NE,BN,WR,f,
2020-10-14 19:05:00,6,Lineup,Tyler Lockett,WR,SEA,WR,BN,Jake,
2020-10-14 19:05:00,6,Lineup,Aaron Jones,RB,GB,BN,RB,Jake,
2020-10-14 19:05:00,6,Lineup,Kareem Hunt,RB,CLE,RB,BN,Jake,
2020-10-14 19:05:00,6,Lineup,Michael Thomas,WR,NO,BN,WR,Jake,
2020-10-14 19:05:00,6,Lineup,New England Patriots DEF,DEF,NE,BN,DEF,Jake,
2020-10-14 19:05:00,6,Lineup,New Orleans Saints DEF,DEF,NO,DEF,BN,Jake,
2020-10-15 00:30:00,6,Drop,Gardner Minshew,QB,JAX,Fantasy Football Team,Waivers,Liam,
2020-10-15 00:30:00,6,Add,Alexander Mattison,RB,MIN,Waivers,Triple Crown,Nolan,21 pts
2020-10-15 00:30:00,6,Add,Miami Dolphins DEF,DEF,MIA,Waivers,ganggreen215,Kevin,1 pts
2020-10-15 00:30:00,6,Drop,Seattle Seahawks DEF,DEF,SEA,ganggreen215,Waivers,Kevin,
2020-10-15 00:30:00,6,Add,New York Giants DEF,DEF,NYG,Waivers,Fantasy Football Team,Liam,0 pts
2020-10-15 00:30:00,6,Drop,Arizona Cardinals DEF,DEF,ARI,Fantasy Football Team,Waivers,Liam,
2020-10-15 00:30:00,6,Drop,Leonard Fournette,RB,TB,Triple Crown,Waivers,Nolan,
2020-10-15 00:30:00,6,Add,Ryan Fitzpatrick,QB,MIA,Waivers,Triple Crown,Nolan,13 pts
2020-10-15 00:30:00,6,Drop,Sammy Watkins,WR,KC,Fantasy Football Team,Waivers,Liam,
2020-10-15 00:30:00,6,Drop,Giovani Bernard,RB,CIN,Triple Crown,Waivers,Nolan,
2020-10-15 00:30:00,6,Add,Mike Gesicki,TE,MIA,Waivers,ganggreen215,Kevin,3 pts
2020-10-15 00:30:00,6,Add,Mecole Hardman,WR,KC,Waivers,Fantasy Football Team,Liam,6 pts
2020-10-15 00:30:00,6,Add,Stephen Gostkowski,K,TEN,Waivers,ganggreen215,Kevin,1 pts
2020-10-15 00:30:00,6,Drop,Daniel Carlson,K,LV,ganggreen215,Waivers,Kevin,
2020-10-15 00:30:00,6,Add,Jason Sanders,K,MIA,Waivers,Do it for George,Matt,0 pts
2020-10-15 00:30:00,6,Drop,Matt Ryan,QB,ATL,Do it for George,Waivers,Matt,
2020-10-15 00:30:00,6,Add,Younghoe Koo,K,ATL,Waivers,Fantasy Football Team,Liam,0 pts
2020-10-15 00:30:00,6,Drop,Robbie Gould,K,SF,Triple Crown,Waivers,Nolan,
2020-10-15 00:30:00,6,Drop,Greg Zuerlein,K,DAL,Fantasy Football Team,Waivers,Liam,
2020-10-15 00:30:00,6,Add,Robert Tonyan,TE,GB,Waivers,Fantasy Football Team,Liam,5 pts
2020-10-15 00:30:00,6,Drop,Rob Gronkowski,TE,TB,ganggreen215,Waivers,Kevin,
2020-10-15 00:30:00,6,Add,Chase Claypool,WR,PIT,Waivers,Triple Crown,Nolan,19 pts
2020-10-15 06:01:00,6,Lineup,Younghoe Koo,K,ATL,BN,K,Liam via Mobile Device,
2020-10-15 06:01:00,6,Lineup,New York Giants DEF,DEF,NYG,BN,DEF,Liam via Mobile Device,
2020-10-15 06:37:00,6,Lineup,Mike Gesicki,TE,MIA,BN,TE,Kevin via Mobile Device,
2020-10-15 06:37:00,6,Lineup,Stephen Gostkowski,K,TEN,BN,K,Kevin via Mobile Device,
2020-10-15 06:37:00,6,Lineup,Miami Dolphins DEF,DEF,MIA,BN,DEF,Kevin via Mobile Device,
2020-10-15 06:46:00,6,Add,Travis Fulgham,WR,PHI,Free Agents,The Wet Market Pangolins,Jake via Mobile Device,
2020-10-15 06:46:00,6,Drop,New Orleans Saints DEF,DEF,NO,The Wet Market Pangolins,Waivers,Jake via Mobile Device,
2020-10-15 06:47:00,6,Add,Justin Jackson,RB,LAC,Free Agents,The Wet Market Pangolins,Jake via Mobile Device,
2020-10-15 06:47:00,6,Drop,D'Ernest Johnson,RB,CLE,The Wet Market Pangolins,Waivers,Jake via Mobile Device,
2020-10-15 06:48:00,6,Lineup,T.J. Hockenson,TE,DET,BN,TE,Jake via Mobile Device,
2020-10-15 06:48:00,6,Drop,Tyler Higbee,TE,LA,The Wet Market Pangolins,Waivers,Jake via Mobile Device,
2020-10-15 06:48:00,6,Add,T.J. Hockenson,TE,DET,Free Agents,The Wet Market Pangolins,Jake via Mobile Device,
2020-10-15 06:49:00,6,Lineup,Michael Thomas,WR,NO,WR,BN,Jake via Mobile Device,
2020-10-15 06:49:00,6,Lineup,Travis Fulgham,WR,PHI,BN,WR,Jake via Mobile Device,
2020-10-15 07:40:00,6,Lineup,Jason Sanders,K,MIA,BN,K,Matt,
2020-10-15 07:40:00,6,Lineup,Wil Lutz,K,NO,K,BN,Matt,
2020-10-15 08:15:00,6,Lineup,Josh Jacobs,RB,LV,RB,BN,Nolan via Mobile Device,
2020-10-15 08:15:00,6,Lineup,Russell Wilson,QB,SEA,QB,BN,Nolan via Mobile Device,
2020-10-15 08:15:00,6,Lineup,Ryan Fitzpatrick,QB,MIA,BN,QB,Nolan via Mobile Device,
2020-10-15 08:15:00,6,Lineup,Alexander Mattison,RB,MIN,BN,RB,Nolan via Mobile Device,
2020-10-15 08:16:00,6,Lineup,Chris Carson,RB,SEA,R/W/T,BN,Nolan via Mobile Device,
2020-10-15 08:16:00,6,Lineup,Darius Slayton,WR,NYG,BN,R/W/T,Nolan via Mobile Device,
2020-10-15 08:16:00,6,Lineup,DK Metcalf,WR,SEA,WR,BN,Nolan via Mobile Device,
2020-10-15 08:16:00,6,Lineup,Chase Claypool,WR,PIT,BN,WR,Nolan via Mobile Device,
2020-10-15 08:16:00,6,Lineup,Chris Carson,RB,SEA,RB,R/W/T,Nolan via Mobile Device,
2020-10-15 08:16:00,6,Lineup,Ezekiel Elliott,RB,DAL,R/W/T,RB,Nolan via Mobile Device,
2020-10-15 08:17:00,6,Lineup,Jonnu Smith,TE,TEN,BN,TE,Nolan via Mobile Device,
2020-10-15 08:17:00,6,Lineup,Eric Ebron,TE,PIT,TE,BN,Nolan via Mobile Device,
2020-10-15 08:17:00,6,Lineup,Mason Crosby,K,GB,BN,K,Nolan via Mobile Device,
2020-10-15 08:23:00,6,Lineup,Dalvin Cook,RB,MIN,RB,R/W/T,Sam via Mobile Device,
2020-10-15 08:23:00,6,Lineup,Dalvin Cook,RB,MIN,R/W/T,BN,Sam via Mobile Device,
2020-10-15 08:23:00,6,Lineup,Kenny Golladay,WR,DET,BN,R/W/T,Sam via Mobile Device,
2020-10-15 08:23:00,6,Lineup,Antonio Gibson,RB,WAS,R/W/T,RB,Sam via Mobile Device,
2020-10-15 08:25:00,6,Lineup,Stefon Diggs,WR,BUF,BN,WR,Sam via Mobile Device,
2020-10-15 08:25:00,6,Lineup,Terry McLaurin,WR,WAS,WR,BN,Sam via Mobile Device,
2020-10-15 08:48:00,6,Lineup,Cam Newton,QB,NE,BN,QB,f,
2020-10-15 08:48:00,6,Lineup,Dak Prescott,QB,DAL,QB,BN,f,
2020-10-15 09:45:00,6,Add,Tony Pollard,RB,DAL,Free Agents,Fantasy Football Team,Liam via Mobile Device,
