,name,position,team,first_owner,drafted_by,Week01_owner,Week01_points,Week01_status,Week01_RostStatus,Week10_owner,Week10_points,Week10_status,Week10_RostStatus,Week11_owner,Week11_points,Week11_status,Week11_RostStatus,Week12_owner,Week12_points,Week12_status,Week12_RostStatus,Week13_owner,Week13_points,Week13_status,Week13_RostStatus,Week14_owner,Week14_points,Week14_status,Week14_RostStatus,Week15_owner,Week15_points,Week15_status,Week15_RostStatus,Week16_owner,Week16_points,Week16_status,Week16_RostStatus,Week02_owner,Week02_points,Week02_status,Week02_RostStatus,Week03_owner,Week03_points,Week03_status,Week03_RostStatus,Week04_owner,Week04_points,Week04_status,Week04_RostStatus,Week05_owner,Week05_points,Week05_status,Week05_RostStatus,Week06_owner,Week06_points,Week06_status,Week06_RostStatus,Week07_owner,Week07_points,Week07_status,Week07_RostStatus,Week08_owner,Week08_points,Week08_status,Week08_RostStatus,Week09_owner,Week09_points,Week09_status,Week09_RostStatus,Week01_TransStatus,Week10_TransStatus,Week11_TransStatus,Week12_TransStatus,Week13_TransStatus,Week14_TransStatus,Week15_TransStatus,Week16_TransStatus,Week02_TransStatus,Week03_TransStatus,Week04_TransStatus,Week05_TransStatus,Week06_TransStatus,Week07_TransStatus,Week08_TransStatus,Week09_TransStatus
"Kupp, C. WR LA","Kupp, C.",WR,LA,Liam,Liam,Liam,8.0,Active,Starting,Liam,10.0,Active,Starting,Liam,25.5,Active,Starting,Liam,6.1,Active,Starting,Liam,15.3,Active,Starting,Liam,14.3,Active,Starting,Liam,8.9,Active,Starting,Liam,14.7,Active,Starting,Liam,13.8,Active,Starting,Liam,25.7,Active,Starting,Liam,19.3,Active,Starting,Liam,13.6,Active,Starting,Liam,4.6,Active,Starting,Liam,11.9,Active,Starting,Liam,22.0,Active,Starting,Liam,0.0,Inactive,Bench,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Sims, S. WR WAS","Sims, S.",WR,WAS,Liam,Liam,Liam,9.7,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Liam,12.1,Inactive,Bench,Liam,2.3,Inactive,Bench,Liam,0.0,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,PickedUp,None,None,Dropped,FA,FA,FA,FA
"Ertz, Z. TE PHI","Ertz, Z.",TE,PHI,Liam,Liam,Liam,10.8,Active,Starting,Sam,0.00,Inactive,Reserve,Sam,0.00,Inactive,Reserve,Sam,0.00,Inactive,Reserve,Sam,5.1,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Liam,9.2,Active,Starting,Liam,14.0,Active,Starting,Liam,6.9,Active,Starting,Liam,1.6,Active,Starting,Liam,7.3,Active,Starting,FA,,FA,FA,Sam,0.00,Inactive,Reserve,Sam,0.00,Inactive,Reserve,None,Traded,None,None,None,Dropped,FA,FA,PickedUp,None,None,None,None,Dropped,PickedUp,None
"Cohen, T. RB CHI","Cohen, T.",RB,CHI,Liam,Liam,Liam,6.7,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Liam,3.7,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,PickedUp,Dropped,FA,FA,FA,FA,FA,FA
"Koo, Y. K ATL","Koo, Y.",K,ATL,Liam,Liam,Liam,8.0,Active,Starting,Liam,0.0,Inactive,Bench,Liam,13.0,Active,Starting,Liam,21.0,Active,Starting,Liam,12.0,Active,Starting,Liam,6.0,Active,Starting,Liam,11.0,Active,Starting,Liam,2.0,Active,Starting,Liam,17.0,Active,Starting,Liam,7.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,Liam,20.0,Active,Starting,Liam,2.0,Active,Starting,Liam,12.0,Active,Starting,Liam,12.0,Active,Starting,None,None,None,None,None,None,None,None,None,None,Dropped,FA,PickedUp,None,None,None
Bills DEF,Bills DEF,DEF,Bills,Liam,Liam,Liam,8.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Liam,12.0,Active,Starting,Liam,7.0,Active,Starting,Liam,2.0,Active,Starting,Liam,5.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Liam,14.0,Active,Starting,Liam,4.0,Active,Starting,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,PickedUp,None,None,None,Dropped,FA,FA,PickedUp,None,Dropped
"Sanders, E. WR NO","Sanders, E.",WR,NO,Liam,Liam,Liam,10.5,Inactive,Bench,Liam,1.5,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Liam,11.6,Inactive,Bench,Liam,13.5,Inactive,Bench,Liam,2.8,Active,Starting,Liam,15.6,Inactive,Bench,Liam,15.3,Active,Starting,Liam,24.2,Inactive,Bench,Liam,0.0,Inactive,Bench,Liam,0.00,Inactive,Reserve,Liam,0.00,Inactive,Reserve,Liam,13.8,Inactive,Bench,None,None,Dropped,FA,FA,FA,PickedUp,None,None,None,None,None,None,None,None,None
"Tate, G. WR NYG","Tate, G.",WR,NYG,Liam,Liam,Liam,0.0,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Lucas,8.6,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,FA,PickedUp,Dropped,FA,FA,FA,FA,FA
"Howard, J. RB Free Agent","Howard, J.",RB,Free Agent,Liam,Liam,Liam,6.7,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
"Michel, S. RB NE","Michel, S.",RB,NE,Liam,Liam,Liam,9.7,Inactive,Bench,Kevin,0.00,Inactive,Reserve,FA,,FA,FA,Kevin,0.0,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Kevin,1.9,Inactive,Bench,Kevin,16.0,Inactive,Bench,Kevin,0.0,Inactive,Bench,Kevin,0.00,Inactive,Reserve,Kevin,0.00,Inactive,Reserve,Kevin,0.0,Inactive,Bench,Kevin,0.00,Inactive,Reserve,Kevin,0.00,Inactive,Reserve,None,Traded,Dropped,PickedUp,Dropped,FA,FA,FA,PickedUp,None,None,None,None,None,None,None
"Sutton, C. WR DEN","Sutton, C.",WR,DEN,Liam,Liam,Liam,0.0,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Liam,9.6,Inactive,Bench,Liam,0.00,Inactive,Reserve,Liam,0.00,Inactive,Reserve,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,PickedUp,None,None,Dropped,FA,FA,FA,FA
"Swift, D. RB DET","Swift, D.",RB,DET,Liam,Liam,Liam,11.3,Inactive,Bench,Sam,25.9,Inactive,Bench,Sam,0.0,Inactive,Bench,Sam,0.0,Inactive,Bench,Sam,0.0,Inactive,Bench,Sam,15.0,Active,Starting,Sam,22.2,Active,Starting,Sam,9.0,Active,Starting,Liam,12.2,Inactive,Bench,Liam,2.9,Inactive,Bench,FA,,FA,FA,Kevin,0.0,Inactive,Bench,Kevin,27.3,Inactive,Bench,Sam,14.8,Active,Starting,Sam,5.3,Active,Starting,Sam,12.7,Inactive,Bench,None,Traded,None,None,None,None,None,None,Traded,None,Dropped,PickedUp,None,Traded,None,None
"Ryan, M. QB ATL","Ryan, M.",QB,ATL,Matt,Matt,Matt,23.9,Active,Starting,Lucas,0.0,Inactive,Bench,FA,,FA,FA,Lucas,13.9,Active,Starting,Lucas,12.92,Active,Starting,Lucas,7.26,Active,Starting,Lucas,27.84,Inactive,Bench,Lucas,19.9,Inactive,Bench,Matt,28.52,Active,Starting,Matt,11.42,Active,Starting,Matt,12.4,Active,Starting,Matt,6.94,Inactive,Bench,FA,,FA,FA,Lucas,17.52,Active,Starting,Lucas,17.94,Inactive,Bench,Lucas,22.36,Inactive,Bench,None,Traded,Dropped,PickedUp,None,None,None,None,Traded,None,None,None,Dropped,PickedUp,None,None
"Johnson, D. RB HOU","Johnson, D.",RB,HOU,Matt,Matt,Matt,19.9,Active,Starting,f,0.0,Active,Starting,f,0.00,Inactive,Reserve,f,0.00,Inactive,Reserve,f,10.4,Inactive,Bench,f,0.0,Active,Starting,f,24.3,Active,Starting,f,28.9,Active,Starting,Matt,7.0,Inactive,Bench,f,12.6,Active,Starting,f,11.2,Active,Starting,f,12.3,Active,Starting,f,13.9,Active,Starting,f,16.4,Active,Starting,f,0.0,Inactive,Bench,f,1.6,Active,Starting,None,Traded,None,None,None,None,None,None,Traded,Traded,None,None,None,None,None,None
"Edwards-Helaire, C. RB KC","Edwards-Helaire, C.",RB,KC,Matt,Matt,Matt,19.8,Active,Starting,Jake,0.0,Inactive,Bench,Jake,20.7,Inactive,Bench,Jake,4.9,Inactive,Bench,Jake,0.0,Active,Starting,Jake,14.1,Inactive,Bench,Jake,9.3,Inactive,Bench,Jake,0.0,Inactive,Bench,Matt,13.0,Active,Starting,Matt,18.4,Active,Starting,Matt,12.1,Active,Starting,Matt,11.0,Active,Starting,Matt,20.9,Active,Starting,Matt,13.3,Active,Starting,Jake,6.1,Active,Starting,Jake,12.4,Active,Starting,None,Traded,None,None,None,None,None,None,Traded,None,None,None,None,None,Traded,None
"Allen, K. WR LAC","Allen, K.",WR,LAC,Matt,Matt,Matt,7.7,Active,Starting,Matt,12.9,Active,Starting,Matt,34.5,Active,Starting,Matt,16.0,Active,Starting,Matt,9.8,Active,Starting,Matt,20.2,Active,Starting,Matt,2.6,Active,Starting,Matt,0.0,Inactive,Bench,Matt,16.6,Inactive,Bench,Matt,30.2,Active,Starting,Matt,14.2,Active,Starting,Matt,10.9,Active,Starting,Matt,0.0,Inactive,Bench,Matt,22.5,Active,Starting,Matt,21.7,Active,Starting,Matt,25.3,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Diggs, S. WR BUF","Diggs, S.",WR,BUF,Matt,Matt,Matt,16.6,Active,Starting,Sam,25.3,Active,Starting,Sam,0.0,Inactive,Bench,Sam,10.9,Active,Starting,Sam,19.2,Active,Starting,Sam,29.1,Active,Starting,Sam,25.7,Active,Starting,Sam,41.5,Active,Starting,Sam,29.3,Active,Starting,Sam,14.9,Active,Starting,Sam,17.5,Active,Starting,Sam,20.6,Inactive,Bench,Sam,16.6,Active,Starting,Sam,10.8,Active,Starting,Sam,15.2,Active,Starting,Sam,20.8,Active,Starting,None,Traded,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Brown, M. WR BAL","Brown, M.",WR,BAL,Matt,Matt,Matt,15.1,Active,Starting,Jake,3.4,Inactive,Bench,Jake,0.0,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Matt,9.2,Active,Starting,Matt,3.3,Active,Starting,Matt,12.6,Active,Starting,Matt,22.8,Active,Starting,Matt,9.7,Active,Starting,Matt,0.0,Inactive,Bench,Matt,7.3,Inactive,Bench,Matt,6.8,Inactive,Bench,None,Traded,None,Dropped,FA,FA,FA,FA,PickedUp,None,None,None,None,None,None,None
"Kittle, G. TE SF","Kittle, G.",TE,SF,Matt,Matt,Matt,9.3,Active,Starting,Matt,0.00,Inactive,Reserve,Matt,0.00,Inactive,Reserve,Matt,0.00,Inactive,Reserve,Matt,0.00,Inactive,Reserve,Matt,0.00,Inactive,Reserve,Matt,0.0,Active,Starting,Matt,13.2,Active,Starting,Matt,0.0,Inactive,Bench,Matt,0.0,Inactive,Bench,Matt,40.1,Active,Starting,Matt,8.4,Active,Starting,Matt,23.9,Active,Starting,Matt,10.5,Active,Starting,Matt,5.9,Active,Starting,Matt,0.00,Inactive,Reserve,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Chubb, N. RB CLE","Chubb, N.",RB,CLE,Matt,Matt,Matt,5.6,Active,Starting,Matt,18.6,Active,Starting,Matt,11.4,Active,Starting,Matt,26.6,Active,Starting,Matt,17.6,Active,Starting,Matt,24.3,Active,Starting,Matt,14.6,Active,Starting,Matt,17.6,Active,Starting,Matt,26.3,Active,Starting,Matt,24.0,Active,Starting,Matt,4.3,Active,Starting,Matt,0.00,Inactive,Reserve,Matt,0.00,Inactive,Reserve,Matt,0.00,Inactive,Reserve,Matt,0.00,Inactive,Reserve,Matt,0.00,Inactive,Reserve,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Lutz, W. K NO","Lutz, W.",K,NO,Matt,Matt,Matt,10.0,Active,Starting,Matt,10.0,Active,Starting,Matt,6.0,Active,Starting,Matt,8.0,Active,Starting,Matt,3.0,Active,Starting,Matt,3.0,Active,Starting,Matt,3.0,Active,Starting,Matt,10.0,Active,Starting,Matt,6.0,Active,Starting,Matt,13.0,Active,Starting,Matt,5.0,Active,Starting,Matt,15.0,Active,Starting,Matt,0.0,Inactive,Bench,Matt,11.0,Active,Starting,Matt,14.0,Active,Starting,Matt,8.0,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Colts DEF,Colts DEF,DEF,Colts,Matt,Matt,Matt,4.0,Active,Starting,Kevin,10.0,Active,Starting,Kevin,8.0,Active,Starting,Kevin,-3.0,Active,Starting,Kevin,12.0,Active,Starting,Kevin,12.0,Active,Starting,Kevin,10.0,Active,Starting,Kevin,0.0,Active,Starting,FA,,FA,FA,Sam,26.0,Active,Starting,Sam,7.0,Active,Starting,Sam,11.0,Active,Starting,Sam,4.0,Active,Starting,Kevin,0.0,Inactive,Bench,Kevin,15.0,Active,Starting,Kevin,5.0,Active,Starting,None,Traded,None,None,None,None,None,None,Dropped,PickedUp,None,None,None,Traded,None,None
"Edelman, J. WR NE","Edelman, J.",WR,NE,Matt,Matt,Matt,13.0,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Matt,25.9,Active,Starting,Matt,4.2,Active,Starting,Matt,6.5,Inactive,Bench,Matt,0.0,Inactive,Bench,Matt,4.32,Active,Starting,Matt,2.3,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,PickedUp,None,None,None,None,None,Dropped,FA
"Watkins, S. WR KC","Watkins, S.",WR,KC,Matt,Matt,Matt,21.5,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Matt,2.1,Active,Starting,FA,,FA,FA,Liam,6.3,Inactive,Bench,Liam,10.4,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,PickedUp,Dropped,PickedUp,None,Dropped,FA,FA,FA
"McKinnon, J. RB SF","McKinnon, J.",RB,SF,Matt,Matt,Matt,15.0,Inactive,Bench,f,7.0,Active,Starting,f,0.0,Inactive,Bench,f,5.2,Active,Starting,f,0.0,Active,Starting,f,0.0,Active,Starting,f,6.5,Active,Starting,f,12.7,Inactive,Bench,Matt,20.8,Inactive,Bench,f,16.7,Active,Starting,f,22.7,Active,Starting,f,2.5,Active,Starting,f,4.8,Active,Starting,f,-0.1,Active,Starting,f,15.9,Inactive,Bench,f,18.8,Active,Starting,None,Traded,None,None,None,None,None,None,Traded,Traded,None,None,None,None,None,None
"White, J. RB NE","White, J.",RB,NE,Matt,Matt,Matt,8.2,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,Matt,14.7,Active,Starting,Matt,3.1,Inactive,Bench,Matt,2.8,Inactive,Bench,Matt,9.5,Inactive,Bench,Matt,6.7,Inactive,Bench,Matt,0.0,Inactive,Bench,Matt,0.0,Inactive,Bench,Matt,12.9,Inactive,Bench,Matt,0.0,Inactive,Bench,Matt,15.3,Active,Starting,Matt,1.3,Inactive,Bench,Matt,5.5,Inactive,Bench,Matt,6.4,Inactive,Bench,None,Dropped,FA,PickedUp,None,None,None,None,None,None,None,None,None,None,None,None
"Smith, J. TE TEN","Smith, J.",TE,TEN,Matt,Matt,Matt,13.6,Inactive,Bench,Nolan,9.5,Active,Starting,Nolan,12.0,Active,Starting,Nolan,0.0,Active,Starting,Nolan,0.0,Inactive,Bench,Nolan,4.3,Inactive,Bench,Nolan,10.2,Active,Starting,Nolan,12.0,Active,Starting,FA,,FA,FA,Nolan,11.1,Active,Starting,Nolan,0.0,Inactive,Bench,Nolan,21.0,Inactive,Bench,Nolan,2.3,Active,Starting,Nolan,1.9,Active,Starting,Nolan,4.9,Active,Starting,Nolan,11.2,Active,Starting,None,Traded,None,None,None,None,None,None,Dropped,PickedUp,None,None,None,None,None,None
"Miller, A. WR CHI","Miller, A.",WR,CHI,Matt,Matt,Matt,17.6,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Matt,0.0,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,PickedUp,Dropped,FA,FA,FA,FA,FA,FA
"Mahomes, P. QB KC","Mahomes, P.",QB,KC,Kevin,Kevin,Kevin,20.44,Active,Starting,Kevin,0.0,Inactive,Bench,Kevin,21.52,Active,Starting,Kevin,31.28,Active,Starting,Kevin,19.32,Active,Starting,Kevin,18.62,Active,Starting,Kevin,25.86,Active,Starting,Kevin,19.22,Active,Starting,Kevin,27.48,Active,Starting,Kevin,40.0,Active,Starting,Kevin,20.24,Active,Starting,Kevin,29.7,Active,Starting,Kevin,20.6,Active,Starting,Kevin,12.0,Active,Starting,Kevin,36.64,Active,Starting,Kevin,31.48,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Kamara, A. RB NO","Kamara, A.",RB,NO,Kevin,Kevin,Kevin,23.7,Active,Starting,Kevin,34.8,Active,Starting,Kevin,10.5,Active,Starting,Kevin,6.2,Active,Starting,Kevin,17.7,Active,Starting,Kevin,22.4,Active,Starting,Kevin,18.4,Active,Starting,Kevin,56.2,Active,Starting,Kevin,38.4,Active,Starting,Kevin,44.7,Active,Starting,Kevin,22.2,Active,Starting,Kevin,23.0,Active,Starting,Kevin,0.0,Inactive,Bench,Kevin,22.8,Active,Starting,Kevin,25.3,Active,Starting,Kevin,15.9,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Jones, R. RB TB","Jones, R.",RB,TB,Kevin,Kevin,Kevin,10.2,Active,Starting,Kevin,24.8,Active,Starting,Kevin,2.4,Active,Starting,Kevin,17.3,Active,Starting,Kevin,0.0,Inactive,Bench,Kevin,15.4,Active,Starting,Kevin,0.0,Inactive,Bench,Kevin,0.0,Inactive,Bench,Kevin,10.7,Active,Starting,Kevin,9.3,Inactive,Bench,Kevin,18.8,Active,Starting,Kevin,15.5,Active,Starting,Kevin,26.1,Active,Starting,Kevin,10.6,Active,Starting,Kevin,6.6,Active,Starting,Kevin,4.8,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Green, A. WR CIN","Green, A.",WR,CIN,Kevin,Kevin,Kevin,10.1,Active,Starting,Kevin,0.0,Inactive,Bench,Kevin,14.1,Inactive,Bench,Kevin,0.0,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Kevin,5.9,Active,Starting,Kevin,8.6,Active,Starting,Kevin,1.3,Active,Starting,Kevin,0.0,Inactive,Bench,Kevin,17.6,Inactive,Bench,Kevin,15.2,Inactive,Bench,Kevin,3.9,Active,Starting,Kevin,0.0,Inactive,Bench,None,None,None,None,Dropped,FA,FA,FA,PickedUp,None,None,None,None,None,None,None
"Hopkins, D. WR ARI","Hopkins, D.",WR,ARI,Kevin,Kevin,Kevin,29.1,Active,Starting,Kevin,25.7,Active,Starting,Kevin,10.1,Active,Starting,Kevin,10.5,Active,Starting,Kevin,19.2,Active,Starting,Kevin,22.6,Active,Starting,Kevin,30.0,Active,Starting,Kevin,12.8,Active,Starting,Kevin,20.8,Active,Starting,Kevin,23.7,Active,Starting,Kevin,11.1,Active,Starting,Kevin,25.1,Active,Starting,Kevin,9.3,Active,Starting,Kevin,24.3,Active,Starting,Kevin,0.0,Inactive,Bench,Kevin,6.0,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Beckham, O. WR CLE","Beckham, O.",WR,CLE,Kevin,Kevin,Kevin,5.2,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Kevin,17.4,Active,Starting,Kevin,9.9,Active,Starting,Kevin,38.4,Active,Starting,Kevin,11.42,Active,Starting,Kevin,4.5,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,PickedUp,None,None,None,None,Dropped,FA,FA
"Waller, D. TE LV","Waller, D.",TE,LV,Kevin,Kevin,Kevin,10.5,Active,Starting,Kevin,6.7,Active,Starting,Kevin,21.8,Active,Starting,Kevin,6.3,Active,Starting,Kevin,45.0,Active,Starting,Kevin,14.5,Active,Starting,Kevin,30.0,Active,Starting,Kevin,16.2,Active,Starting,Kevin,28.5,Active,Starting,Kevin,2.9,Active,Starting,Kevin,15.8,Active,Starting,Kevin,15.8,Active,Starting,Kevin,0.0,Inactive,Bench,Kevin,17.0,Active,Starting,Kevin,7.7,Active,Starting,Kevin,13.2,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Lamb, C. WR DAL","Lamb, C.",WR,DAL,Kevin,Kevin,Kevin,12.9,Active,Starting,Kevin,0.0,Inactive,Bench,Kevin,21.4,Active,Starting,Kevin,8.0,Active,Starting,Kevin,10.6,Active,Starting,Kevin,8.1,Active,Starting,Kevin,25.8,Inactive,Bench,Kevin,24.0,Active,Starting,Kevin,17.8,Inactive,Bench,Kevin,14.8,Active,Starting,Kevin,27.8,Active,Starting,Kevin,20.7,Active,Starting,Kevin,13.5,Active,Starting,Kevin,0.1,Active,Starting,Kevin,9.0,Active,Starting,Kevin,15.7,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Elliott, J. K PHI","Elliott, J.",K,PHI,Kevin,Kevin,Kevin,5.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Kevin,7.0,Active,Starting,Kevin,14.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,PickedUp,None,Dropped,FA,FA,FA,FA,FA
Vikings DEF,Vikings DEF,DEF,Vikings,Kevin,Kevin,Kevin,-4.0,Active,Starting,FA,,FA,FA,Sam,4.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Kevin,4.0,Active,Starting,Kevin,3.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,PickedUp,Dropped,FA,FA,FA,FA,PickedUp,None,Dropped,FA,FA,FA,FA,FA
"Johnson, K. RB DET","Johnson, K.",RB,DET,Kevin,Kevin,Kevin,1.4,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Kevin,9.2,Inactive,Bench,Kevin,4.0,Inactive,Bench,Kevin,2.2,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,PickedUp,None,None,Dropped,FA,FA,FA,FA
"Gesicki, M. TE MIA","Gesicki, M.",TE,MIA,Kevin,Kevin,Kevin,6.0,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Jess,23.8,Active,Starting,Jess,23.5,Active,Starting,Jess,0.0,Active,Starting,Jess,9.4,Active,Starting,Kevin,27.0,Inactive,Bench,Kevin,8.5,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,Kevin,0.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,PickedUp,None,None,None,Traded,None,Dropped,FA,PickedUp,Dropped,FA,FA
"Jeudy, J. WR DEN","Jeudy, J.",WR,DEN,Kevin,Kevin,Kevin,9.6,Inactive,Bench,Liam,10.8,Inactive,Bench,Liam,6.7,Active,Starting,Liam,0.0,Inactive,Bench,Liam,1.5,Inactive,Bench,Liam,6.2,Inactive,Bench,Liam,2.9,Inactive,Bench,Liam,12.1,Inactive,Bench,Kevin,10.2,Inactive,Bench,Kevin,10.5,Inactive,Bench,Kevin,14.1,Inactive,Bench,Liam,0.0,Inactive,Bench,Liam,5.2,Inactive,Bench,Liam,4.0,Inactive,Bench,Liam,11.3,Inactive,Bench,Liam,25.5,Active,Starting,None,Traded,None,None,None,None,None,None,Traded,None,None,Traded,None,None,None,None
"Pittman, M. WR IND","Pittman, M.",WR,IND,Kevin,Kevin,Kevin,3.0,Inactive,Bench,FA,,FA,FA,Sam,15.6,Active,Starting,Sam,4.8,Inactive,Bench,Sam,9.6,Inactive,Bench,Sam,6.5,Inactive,Bench,Sam,3.9,Inactive,Bench,Sam,6.8,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,PickedUp,None,None,None,None,None,Dropped,FA,FA,FA,FA,FA,FA,FA
"Taylor, J. RB IND","Taylor, J.",RB,IND,Kevin,Kevin,Kevin,14.9,Inactive,Bench,Graham,5.7,Active,Starting,Graham,15.4,Inactive,Bench,Graham,0.0,Inactive,Bench,Graham,22.5,Active,Starting,Graham,30.5,Active,Starting,Graham,19.5,Active,Starting,Graham,19.4,Active,Starting,Kevin,19.0,Active,Starting,Kevin,13.2,Active,Starting,Graham,8.9,Active,Starting,Graham,15.4,Active,Starting,Graham,15.5,Active,Starting,Graham,0.0,Inactive,Bench,Graham,5.1,Active,Starting,Graham,9.4,Inactive,Bench,None,Traded,None,None,None,None,None,None,Traded,None,Traded,None,None,None,None,None
