,name,position,team,first_owner,drafted_by,Week01_owner,Week01_points,Week01_status,Week01_RostStatus,Week10_owner,Week10_points,Week10_status,Week10_RostStatus,Week11_owner,Week11_points,Week11_status,Week11_RostStatus,Week12_owner,Week12_points,Week12_status,Week12_RostStatus,Week13_owner,Week13_points,Week13_status,Week13_RostStatus,Week14_owner,Week14_points,Week14_status,Week14_RostStatus,Week15_owner,Week15_points,Week15_status,Week15_RostStatus,Week16_owner,Week16_points,Week16_status,Week16_RostStatus,Week02_owner,Week02_points,Week02_status,Week02_RostStatus,Week03_owner,Week03_points,Week03_status,Week03_RostStatus,Week04_owner,Week04_points,Week04_status,Week04_RostStatus,Week05_owner,Week05_points,Week05_status,Week05_RostStatus,Week06_owner,Week06_points,Week06_status,Week06_RostStatus,Week07_owner,Week07_points,Week07_status,Week07_RostStatus,Week08_owner,Week08_points,Week08_status,Week08_RostStatus,Week09_owner,Week09_points,Week09_status,Week09_RostStatus,Week01_TransStatus,Week10_TransStatus,Week11_TransStatus,Week12_TransStatus,Week13_TransStatus,Week14_TransStatus,Week15_TransStatus,Week16_TransStatus,Week02_TransStatus,Week03_TransStatus,Week04_TransStatus,Week05_TransStatus,Week06_TransStatus,Week07_TransStatus,Week08_TransStatus,Week09_TransStatus
"Kirk, C. WR ARI","Kirk, C.",WR,ARI,Lucas,Lucas,Lucas,1.8,Inactive,Bench,Lucas,8.2,Active,Starting,Lucas,9.8,Active,Starting,Lucas,5.6,Active,Starting,Lucas,1.2,Active,Starting,Lucas,12.1,Active,Starting,Lucas,8.3,Inactive,Bench,Lucas,14.6,Inactive,Bench,Lucas,8.4,Active,Starting,Lucas,0.0,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Lucas,21.7,Active,Starting,Lucas,0.0,Inactive,Bench,Lucas,22.9,Inactive,Bench,None,None,None,None,None,None,None,None,None,None,Dropped,FA,FA,PickedUp,None,None
"Goedert, D. TE PHI","Goedert, D.",TE,PHI,Lucas,Lucas,Lucas,24.1,Inactive,Bench,Lucas,7.30,Inactive,Reserve,Liam,18.7,Active,Starting,Liam,20.5,Active,Starting,Liam,11.6,Active,Starting,Liam,8.3,Active,Starting,Liam,7.9,Active,Starting,Liam,6.8,Active,Starting,Lucas,7.0,Inactive,Bench,Lucas,1.7,Inactive,Bench,Lucas,0.00,Inactive,Reserve,Lucas,0.00,Inactive,Reserve,Lucas,0.00,Inactive,Reserve,Lucas,0.00,Inactive,Reserve,Lucas,2.50,Inactive,Reserve,Lucas,0.00,Inactive,Reserve,None,None,Traded,None,None,None,None,None,Traded,None,None,None,None,None,None,None
"Dobbins, J. RB BAL","Dobbins, J.",RB,BAL,Lucas,Lucas,Lucas,14.2,Inactive,Bench,Sam,2.4,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Matt,13.3,Inactive,Bench,Matt,15.1,Inactive,Bench,Matt,13.7,Active,Starting,Lucas,7.1,Inactive,Bench,Lucas,8.4,Inactive,Bench,Lucas,2.7,Inactive,Bench,Lucas,8.5,Inactive,Bench,Lucas,4.9,Inactive,Bench,Matt,0.0,Inactive,Bench,Matt,13.1,Inactive,Bench,Matt,5.5,Active,Starting,None,Traded,Dropped,FA,FA,PickedUp,None,None,Traded,None,None,None,None,Traded,None,None
"Reagor, J. WR PHI","Reagor, J.",WR,PHI,Lucas,Lucas,Lucas,7.1,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
"Rodgers, A. QB GB","Rodgers, A.",QB,GB,Graham,Graham,Graham,30.76,Active,Starting,Graham,25.4,Active,Starting,Graham,21.74,Active,Starting,Graham,25.64,Active,Starting,Graham,23.5,Active,Starting,Graham,30.9,Active,Starting,Graham,18.32,Active,Starting,Graham,25.14,Active,Starting,Graham,19.2,Active,Starting,Graham,24.52,Active,Starting,Graham,29.58,Active,Starting,Graham,0.0,Inactive,Bench,Graham,3.8,Active,Starting,Graham,27.32,Active,Starting,Graham,22.54,Active,Starting,Graham,28.9,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Elliott, E. RB DAL","Elliott, E.",RB,DAL,Graham,Graham,Graham,27.7,Active,Starting,Nolan,0.0,Inactive,Bench,Nolan,19.4,Active,Starting,Nolan,2.9,Active,Starting,Nolan,13.5,Active,Starting,Nolan,7.9,Active,Starting,Nolan,0.0,Active,Starting,Nolan,17.9,Active,Starting,Graham,22.2,Active,Starting,Graham,17.8,Active,Starting,Nolan,20.5,Active,Starting,Nolan,23.5,Active,Starting,Nolan,12.0,Active,Starting,Nolan,6.1,Active,Starting,Nolan,8.3,Active,Starting,Nolan,8.9,Active,Starting,None,Traded,None,None,None,None,None,None,Traded,None,Traded,None,None,None,None,None
"Conner, J. RB PIT","Conner, J.",RB,PIT,Graham,Graham,Graham,3.7,Active,Starting,Kevin,6.8,Active,Starting,Kevin,12.9,Active,Starting,Kevin,0.0,Inactive,Bench,Kevin,0.00,Inactive,Reserve,Kevin,1.8,Active,Starting,Kevin,0.0,Inactive,Bench,Kevin,17.6,Inactive,Bench,Graham,20.1,Inactive,Bench,Graham,24.9,Active,Starting,Kevin,0.0,Inactive,Bench,Kevin,15.3,Active,Starting,Kevin,17.2,Active,Starting,Kevin,14.1,Active,Starting,Kevin,15.0,Active,Starting,Kevin,4.0,Active,Starting,None,Traded,None,None,None,None,None,None,Traded,None,Traded,None,None,None,None,None
"Thielen, A. WR MIN","Thielen, A.",WR,MIN,Graham,Graham,Graham,31.0,Active,Starting,Graham,20.3,Active,Starting,Graham,32.3,Active,Starting,Graham,0.00,Inactive,Reserve,Graham,21.5,Active,Starting,Graham,6.9,Active,Starting,Graham,9.1,Active,Starting,Graham,23.7,Active,Starting,Graham,6.1,Active,Starting,Graham,12.3,Active,Starting,Graham,26.2,Active,Starting,Graham,29.3,Active,Starting,Graham,14.1,Active,Starting,Graham,0.0,Inactive,Bench,Graham,5.7,Active,Starting,Graham,5.8,Active,Starting,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Hill, T. WR KC","Hill, T.",WR,KC,Graham,Graham,Graham,15.6,Active,Starting,Graham,0.0,Inactive,Bench,Graham,27.0,Active,Starting,Jake,57.9,Active,Starting,Jake,14.8,Active,Starting,Jake,26.1,Active,Starting,Jake,17.4,Active,Starting,Jake,10.5,Active,Starting,Graham,21.8,Active,Starting,Graham,21.2,Active,Starting,Graham,16.4,Active,Starting,Graham,18.3,Active,Starting,Graham,5.5,Active,Starting,Graham,17.5,Active,Starting,Graham,25.8,Active,Starting,Graham,33.1,Active,Starting,None,None,None,Traded,None,None,None,None,Traded,None,None,None,None,None,None,None
"Ridley, C. WR ATL","Ridley, C.",WR,ATL,Graham,Graham,Graham,33.9,Active,Starting,Graham,0.0,Inactive,Bench,Graham,14.0,Inactive,Bench,Graham,17.0,Active,Starting,Graham,15.8,Active,Starting,Graham,26.4,Active,Starting,Graham,32.3,Active,Starting,Graham,17.3,Active,Starting,Graham,29.9,Active,Starting,Graham,16.7,Active,Starting,Graham,0.0,Active,Starting,Graham,21.6,Active,Starting,Graham,18.9,Active,Starting,Graham,19.9,Active,Starting,Graham,7.2,Active,Starting,Graham,0.0,Inactive,Bench,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
"Hurst, H. TE ATL","Hurst, H.",TE,ATL,Graham,Graham,Graham,6.8,Active,Starting,Graham,0.0,Inactive,Bench,Graham,0.0,Active,Starting,Graham,8.8,Active,Starting,Graham,1.9,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Graham,18.2,Active,Starting,Graham,7.1,Active,Starting,Graham,9.1,Active,Starting,Graham,2.8,Active,Starting,Graham,15.7,Active,Starting,Graham,12.8,Active,Starting,Graham,10.4,Active,Starting,Graham,13.2,Active,Starting,None,None,None,None,None,Dropped,FA,FA,PickedUp,None,None,None,None,None,None,None
"Jackson, D. WR PHI","Jackson, D.",WR,PHI,Graham,Graham,Graham,6.6,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Kevin,12.4,Inactive,Bench,Kevin,3.1,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,PickedUp,None,Dropped,FA,FA,FA,FA,FA
"Boswell, C. K PIT","Boswell, C.",K,PIT,Graham,Graham,Graham,8.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Graham,6.0,Active,Starting,Graham,8.0,Active,Starting,FA,,FA,FA,Sam,9.0,Active,Starting,Sam,8.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,PickedUp,None,Dropped,PickedUp,None,Dropped,FA,FA
Eagles DEF,Eagles DEF,DEF,Eagles,Graham,Graham,Graham,3.0,Active,Starting,Sam,3.0,Active,Starting,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,Sam,9.0,Active,Starting,Sam,20.0,Active,Starting,FA,,FA,FA,None,Traded,Dropped,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,PickedUp,None,Dropped
"Thompson, C. RB JAX","Thompson, C.",RB,JAX,Graham,Graham,Graham,2.6,Inactive,Bench,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,FA,,FA,FA,None,Dropped,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA,FA
