Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Jake,6,D. Watson QB - HOU ,31.36,A. Jones RB - GB ,17.10,M. Sanders RB - PHI ,9.10,T. Lockett WR - SEA ,21.70,M. Thomas WR - NO ,19.40,R. Anderson WR - CAR ,11.60,T. Hockenson TE - DET ,10.80,M. Davis RB - CAR ,15.90,R. Blankenship K - IND ,15.00,Dolphins DEF ,5.00,H. Henry TE - LAC ,14.80,K. Hunt RB - CLE ,9.10,W. Gallman RB - NYG ,0.00,M. Brown WR - BAL ,0.00,T. Fulgham WR - PHI ,1.80,C. Edwards-Helaire RB - KC ,20.70,A. Lazard WR - GB ,3.80,-,-,156.96,Graham,172.54
Lucas,7,L. Jackson QB - BAL ,16.54,A. Peterson RB - DET ,1.80,R. Burkhead RB - NE ,3.20,A. Cooper WR - DAL ,14.10,C. Godwin WR - TB ,18.30,J. Jefferson WR - MIN ,17.60,M. Andrews TE - BAL ,20.60,C. Kirk WR - ARI ,9.80,J. Tucker K - BAL ,10.00,Chargers DEF ,9.00,J. Brown WR - BUF ,0.00,C. McCaffrey RB - CAR ,0.00,M. Gallup WR - DAL ,4.90,D. Singletary RB - BUF ,0.00,49ers DEF ,0.00,R. Mostert RB - SF ,0.00,M. Hardman WR - KC ,2.60,-,-,120.94,Liam,143.78
Graham,5,A. Rodgers QB - GB ,21.74,L. Fournette RB - TB ,9.60,C. Edmonds RB - ARI ,24.90,A. Thielen WR - MIN ,32.30,M. Evans WR - TB ,15.90,D. Johnson WR - PIT ,23.10,H. Hurst TE - ATL ,0.00,T. Hill WR - KC ,27.00,R. Succop K - TB ,6.00,Football Team DEF ,12.00,J. Reed TE - SF ,0.00,L. Murray RB - NO ,10.50,K. Drake RB - ARI ,16.00,J. Jackson RB - LAC ,0.00,C. Ridley WR - ATL ,14.00,J. Taylor RB - IND ,15.40,R. Armstead RB - JAX ,0.00,-,-,172.54,Jake,156.96
Liam,8,B. Roethlisberger QB - PIT View News ,16.68,T. Gurley RB - ATL ,3.90,K. Ballage RB - LAC ,14.10,D. Adams WR - GB ,23.60,C. Kupp WR - LA View News ,25.50,T. Higgins WR - CIN ,5.60,D. Goedert TE - PHI ,18.70,J. Jeudy WR - DEN ,6.70,Y. Koo K - ATL ,13.00,Saints DEF ,16.00,J. Landry WR - CLE ,4.60,C. Davis WR - TEN ,16.30,P. Lindsay RB - DEN ,8.20,N. Hines RB - IND ,9.20,J. Allen QB - BUF ,0.00,T. Pollard RB - DAL ,13.60,A. Ekeler RB - LAC ,0.00,-,-,143.78,Lucas,120.94
Matt,4,T. Brady QB - TB ,12.64,C. Hyde RB - SEA ,17.50,N. Chubb RB - CLE ,11.40,K. Allen WR - LAC ,34.50,B. Cooks WR - HOU ,12.50,A. Brown WR - TEN ,16.20,A. Hooper TE - CLE ,6.30,G. Bernard RB - CIN ,9.50,W. Lutz K - NO ,6.00,Buccaneers DEF ,4.00,A. Brown WR - TB ,13.80,L. Bell RB - KC ,10.60,A. Robinson WR - CHI ,0.00,D. Johnson RB - HOU ,6.50,E. Engram TE - NYG ,0.00,Bears DEF ,0.00,J. Mixon RB - CIN ,0.00,G. Kittle TE - SF ,0.00,130.54,f,136.52
Kevin,1,P. Mahomes QB - KC ,21.52,J. Conner RB - PIT ,12.90,R. Jones RB - TB ,2.40,D. Hopkins WR - ARI ,10.10,T. McLaurin WR - WAS ,13.40,C. Lamb WR - DAL ,21.40,D. Waller TE - LV ,21.80,A. Kamara RB - NO ,10.50,D. Carlson K - LV ,7.00,Colts DEF ,8.00,A. Green WR - CIN ,14.10,C. Beasley WR - BUF ,0.00,M. Valdes-Scantling WR - GB ,6.50,D. Harris RB - NE ,12.40,D. Henderson RB - LA ,2.90,B. Aiyuk WR - SF ,0.00,-,-,-,-,129.02,Sam,132.86
Nolan,2,R. Wilson QB - SEA ,20.08,E. Elliott RB - DAL ,19.40,J. Jacobs RB - LV ,13.40,W. Fuller WR - HOU ,14.00,D. Metcalf WR - SEA ,13.60,C. Claypool WR - PIT ,15.90,J. Smith TE - TEN ,12.00,D. Chark WR - JAX ,8.10,J. Sanders K - MIA ,10.00,Ravens DEF ,3.00,N. Agholor WR - LV ,20.80,R. Higgins WR - CLE ,9.50,C. Carson RB - SEA ,0.00,G. Edwards RB - BAL ,0.60,J. Meyers WR - NE ,6.80,Browns DEF ,20.00,-,-,-,-,129.48,Jess,119.64
Jess,9,J. Herbert QB - LAC ,27.74,M. Gordon RB - DEN ,18.40,D. Henry RB - TEN ,20.20,J. Jones WR - ATL ,5.90,J. Smith-Schuster WR - PIT ,5.90,D. Moore WR - CAR ,21.80,J. Cook TE - NO ,1.60,M. Jones WR - DET ,9.10,D. Bailey K - MIN ,4.00,Rams DEF ,5.00,C. Wentz QB - PHI ,14.40,S. Shepard WR - NYG ,0.00,J. Williams RB - GB ,8.60,D. Montgomery RB - CHI ,0.00,H. Renfrow WR - LV ,6.80,H. Butker K - KC ,5.00,-,-,-,-,119.64,Nolan,129.48
Sam,3,K. Murray QB - ARI ,20.26,D. Cook RB - MIN ,25.00,J. Robinson RB - JAX ,11.40,R. Woods WR - LA ,30.60,J. Grant WR - MIA ,4.10,M. Pittman WR - IND ,15.60,R. Gronkowski TE - TB ,4.50,A. Gibson RB - WAS ,17.40,M. Prater K - DET ,0.00,Vikings DEF ,4.00,J. Crowder WR - NYJ ,2.60,S. Diggs WR - BUF ,0.00,K. Golladay WR - DET ,0.00,C. Samuel WR - CAR ,21.40,D. Swift RB - DET ,0.00,T. Bass K - BUF ,0.00,Z. Ertz TE - PHI ,0.00,-,-,132.86,Kevin,129.02
f,10,R. Tannehill QB - TEN ,21.86,J. McKissic RB - WAS ,9.90,B. Scott RB - PHI ,10.50,T. Boyd WR - CIN ,17.50,K. Cole WR - JAX ,5.60,D. Harris WR - NO ,7.80,T. Kelce TE - KC ,26.86,N. Fant TE - DEN ,9.50,J. Slye K - CAR ,10.00,Steelers DEF ,17.00,J. Graham TE - CHI ,0.00,C. Newton QB - NE ,19.20,C. Patterson WR - CHI ,0.00,J. McKinnon RB - SF ,0.00,P. Williams WR - MIA ,0.00,H. Ruggs WR - LV ,2.70,D. Johnson RB - HOU ,0.00,M. Gaskin RB - MIA ,0.00,136.52,Matt,130.54
