Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Jake,5,D. Watson QB - HOU ,32.00,A. Jones RB - GB ,13.10,M. Sanders RB - PHI ,12.20,R. Anderson WR - CAR ,11.70,A. Brown WR - TEN ,22.80,T. Fulgham WR - PHI ,19.50,T. Hockenson TE - DET ,9.70,M. Davis RB - CAR ,11.50,R. Blankenship K - IND ,8.00,Patriots DEF ,7.00,T. Lockett WR - SEA ,0.00,H. Henry TE - LAC ,0.00,M. Thomas WR - NO ,0.00,K. Hunt RB - CLE ,7.70,J. Jackson RB - LAC ,0.00,J. Burrow QB - CIN ,16.72,A. Lazard WR - GB ,0.00,-,-,147.50,Nolan,111.04
Lucas,4,L. Jackson QB - BAL ,28.24,R. Mostert RB - SF ,9.60,D. Singletary RB - BUF ,5.50,A. Cooper WR - DAL ,20.90,C. Godwin WR - TB ,9.80,J. Jefferson WR - MIN ,39.60,M. Andrews TE - BAL ,4.10,J. Brown WR - BUF ,0.00,J. Tucker K - BAL ,16.00,49ers DEF ,5.00,A. Peterson RB - DET ,12.80,C. Hyde RB - SEA ,0.00,W. Gallman RB - NYG ,0.00,M. Gallup WR - DAL ,4.30,J. Dobbins RB - BAL ,4.90,B. Aiyuk WR - SF ,9.20,C. McCaffrey RB - CAR ,0.00,D. Goedert TE - PHI ,0.00,138.74,Graham,111.90
Graham,7,A. Rodgers QB - GB ,3.80,K. Drake RB - ARI ,28.40,J. Taylor RB - IND ,15.50,A. Thielen WR - MIN ,14.10,M. Evans WR - TB ,2.00,C. Ridley WR - ATL ,18.90,H. Hurst TE - ATL ,15.70,T. Hill WR - KC ,5.50,Z. Gonzalez K - ARI ,8.00,Rams DEF ,0.00,L. Murray RB - NO ,0.00,D. Freeman RB - NYG ,6.70,L. Fournette RB - TB ,0.00,C. Edmonds RB - ARI ,3.90,D. Johnson WR - PIT ,0.00,C. Akers RB - LA ,0.00,R. Armstead RB - JAX ,0.00,-,-,111.90,Lucas,138.74
Liam,9,J. Allen QB - BUF ,15.08,T. Gurley RB - ATL ,9.70,P. Lindsay RB - DEN ,10.10,D. Adams WR - GB ,12.10,C. Kupp WR - LA View News ,4.60,L. Shenault WR - JAX ,4.10,Z. Ertz TE - PHI ,7.30,M. Hardman WR - KC ,3.50,Y. Koo K - ATL ,20.00,Giants DEF ,14.00,E. Sanders WR - NO ,0.00,R. Tonyan TE - GB ,5.50,T. Pollard RB - DAL ,8.80,T. Higgins WR - CIN ,18.70,J. Jeudy WR - DEN ,5.20,J. Kelley RB - LAC ,0.00,A. Ekeler RB - LAC ,0.00,P. Campbell WR - IND ,0.00,100.48,f,126.98
Matt,3,B. Roethlisberger QB - PIT View News ,10.98,J. White RB - NE ,15.30,J. Mixon RB - CIN ,14.90,J. Edelman WR - NE ,4.32,A. Robinson WR - CHI ,10.30,M. Brown WR - BAL ,9.70,G. Kittle TE - SF ,23.90,C. Edwards-Helaire RB - KC ,20.90,J. Sanders K - MIA ,6.00,Buccaneers DEF ,19.00,T. Brady QB - TB ,14.64,C. Beasley WR - BUF ,14.50,K. Allen WR - LAC ,0.00,L. Bell RB - KC ,0.00,Z. Moss RB - BUF ,1.00,W. Lutz K - NO ,0.00,N. Chubb RB - CLE ,0.00,-,-,135.30,Sam,122.62
Kevin,2,P. Mahomes QB - KC ,20.60,J. Conner RB - PIT ,17.20,D. Henderson RB - LA ,9.20,D. Hopkins WR - ARI ,9.30,O. Beckham WR - CLE ,4.50,C. Lamb WR - DAL ,13.50,M. Gesicki TE - MIA ,0.00,R. Jones RB - TB ,26.10,S. Gostkowski K - TEN ,4.00,Dolphins DEF ,15.00,A. Green WR - CIN ,17.60,A. Jeffery WR - PHI ,0.00,J. Landry WR - CLE ,7.00,D. Waller TE - LV ,0.00,A. Kamara RB - NO ,0.00,D. Swift RB - DET ,27.30,S. Michel RB - NE ,0.00,-,-,119.40,Jess,157.12
Nolan,1,R. Fitzpatrick QB - MIA ,16.04,E. Elliott RB - DAL ,12.00,A. Mattison RB - MIN ,4.00,W. Fuller WR - HOU ,24.30,D. Chark WR - JAX ,11.50,C. Claypool WR - PIT ,18.10,J. Smith TE - TEN ,2.30,D. Slayton WR - NYG ,11.80,M. Crosby K - GB ,4.00,Ravens DEF ,7.00,R. Wilson QB - SEA ,0.00,E. Ebron TE - PIT ,2.90,C. Carson RB - SEA ,0.00,R. Gage WR - ATL ,10.50,J. Jacobs RB - LV ,0.00,D. Metcalf WR - SEA ,0.00,-,-,-,-,111.04,Jake,147.50
Jess,10,C. Wentz QB - PHI ,29.42,D. Henry RB - TEN ,40.40,D. Montgomery RB - CHI ,13.70,J. Jones WR - ATL ,33.70,J. Smith-Schuster WR - PIT ,2.60,D. Moore WR - CAR ,14.30,A. Hooper TE - CLE ,10.20,M. Jones WR - DET ,2.80,H. Butker K - KC ,7.00,Chiefs DEF ,3.00,J. Cook TE - NO ,0.00,M. Ingram RB - BAL View News ,2.00,M. Gordon RB - DEN ,0.00,H. Renfrow WR - LV ,0.00,J. Herbert QB - LAC ,0.00,T. Coleman RB - SF ,0.00,S. Shepard WR - NYG ,0.00,-,-,157.12,Kevin,119.40
Sam,6,K. Murray QB - ARI ,28.92,J. Robinson RB - JAX ,15.30,A. Gibson RB - WAS ,9.50,D. Parker WR - MIA ,6.50,J. Crowder WR - NYJ ,11.80,S. Diggs WR - BUF ,16.60,D. Schultz TE - DAL ,7.50,K. Golladay WR - DET ,14.50,C. Boswell K - PIT ,8.00,Colts DEF ,4.00,R. Woods WR - LA ,14.00,D. Cook RB - MIN ,0.00,N. Hines RB - IND ,9.40,D. Harris RB - NE ,4.30,T. McLaurin WR - WAS ,14.40,D. Samuel WR - SF ,18.00,-,-,-,-,122.62,Matt,135.30
f,8,C. Newton QB - NE ,18.48,J. McKinnon RB - SF ,4.80,D. Johnson RB - HOU ,13.90,T. Boyd WR - CIN ,12.90,N. Harry WR - NE ,0.00,P. Williams WR - MIA ,9.80,T. Kelce TE - KC ,21.50,M. Gaskin RB - MIA ,16.60,J. Slye K - CAR ,11.00,Steelers DEF ,18.00,J. Graham TE - CHI ,8.40,D. Lewis RB - NYG ,2.00,D. Prescott QB - DAL View News ,0.00,B. Scott RB - PHI ,7.20,N. Fant TE - DEN ,0.00,H. Ruggs WR - LV ,0.00,S. Barkley RB - NYG ,0.00,-,-,126.98,Liam,100.48
