Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Jake,5,D. Watson QB - HOU ,14.12,A. Jones RB - GB ,14.50,M. Sanders RB - PHI ,13.50,T. Lockett WR - SEA ,11.60,M. Thomas WR - NO ,4.70,R. Anderson WR - CAR ,6.10,T. Hockenson TE - DET ,3.30,T. Fulgham WR - PHI ,1.80,R. Blankenship K - IND ,11.00,Dolphins DEF ,6.00,M. Davis RB - CAR ,8.40,H. Henry TE - LAC ,13.00,K. Hunt RB - CLE ,16.20,W. Gallman RB - NYG ,19.00,M. Brown WR - BAL ,3.40,C. Edwards-Helaire RB - KC ,0.00,A. Lazard WR - GB ,0.00,-,-,86.62,Lucas,106.66
Lucas,6,L. Jackson QB - BAL ,21.46,C. McCaffrey RB - CAR ,0.00,D. Singletary RB - BUF ,2.00,C. Godwin WR - TB ,15.20,C. Kirk WR - ARI ,8.20,J. Jefferson WR - MIN ,21.50,M. Andrews TE - BAL ,13.10,J. Brown WR - BUF ,13.20,J. Tucker K - BAL ,5.00,49ers DEF ,7.00,M. Ryan QB - ATL ,0.00,A. Peterson RB - DET ,4.00,A. Cooper WR - DAL ,0.00,M. Gallup WR - DAL ,0.00,D. Schultz TE - DAL ,0.00,R. Bullock K - CIN ,4.00,R. Mostert RB - SF ,0.00,D. Goedert TE - PHI ,7.30,106.66,Jake,86.62
Graham,7,A. Rodgers QB - GB ,25.40,L. Fournette RB - TB ,5.00,J. Taylor RB - IND ,5.70,A. Thielen WR - MIN ,20.30,M. Evans WR - TB ,19.70,D. Johnson WR - PIT ,23.60,J. Reed TE - SF ,11.20,C. Edmonds RB - ARI ,14.60,R. Succop K - TB ,16.00,Saints DEF ,14.00,L. Murray RB - NO ,5.70,K. Drake RB - ARI ,9.90,T. Hill WR - KC ,0.00,H. Hurst TE - ATL ,0.00,J. Jackson RB - LAC ,0.00,C. Ridley WR - ATL ,0.00,R. Armstead RB - JAX ,0.00,-,-,155.50,f,123.18
Liam,9,J. Allen QB - BUF ,27.36,P. Lindsay RB - DEN ,0.20,N. Hines RB - IND ,28.50,D. Adams WR - GB ,18.60,C. Kupp WR - LA View News ,10.00,T. Higgins WR - CIN ,22.50,R. Tonyan TE - GB ,6.30,J. Landry WR - CLE ,5.90,M. Crosby K - GB ,6.00,Packers DEF ,6.00,E. Sanders WR - NO ,1.50,T. Gurley RB - ATL ,0.00,C. Davis WR - TEN ,11.70,T. Pollard RB - DAL ,0.00,J. Jeudy WR - DEN ,10.80,Y. Koo K - ATL ,0.00,A. Ekeler RB - LAC ,0.00,-,-,131.36,Sam,145.70
Matt,4,T. Brady QB - TB ,31.84,D. Johnson RB - HOU ,5.40,N. Chubb RB - CLE ,18.60,K. Allen WR - LAC ,12.90,B. Cooks WR - HOU ,9.90,A. Brown WR - TEN ,3.10,E. Engram TE - NYG ,3.50,A. Robinson WR - CHI ,10.30,W. Lutz K - NO ,10.00,Buccaneers DEF ,5.00,A. Brown WR - TB ,13.60,G. Bernard RB - CIN ,8.70,A. Hooper TE - CLE ,2.10,J. Mixon RB - CIN ,0.00,Z. Moss RB - BUF ,2.70,J. Burrow QB - CIN ,12.52,G. Kittle TE - SF ,0.00,-,-,110.54,Jess,130.88
Kevin,1,T. Tagovailoa QB - MIA ,14.66,J. Conner RB - PIT ,6.80,R. Jones RB - TB ,24.80,D. Hopkins WR - ARI ,25.70,T. McLaurin WR - WAS ,17.20,B. Aiyuk WR - SF ,19.70,D. Waller TE - LV ,6.70,A. Kamara RB - NO ,34.80,D. Carlson K - LV ,15.00,Colts DEF ,10.00,A. Green WR - CIN ,0.00,C. Beasley WR - BUF ,27.90,P. Mahomes QB - KC ,0.00,M. Williams WR - LAC ,5.80,D. Henderson RB - LA ,10.30,C. Lamb WR - DAL ,0.00,S. Michel RB - NE ,0.00,-,-,175.36,Nolan,118.12
Nolan,2,R. Wilson QB - SEA ,9.92,G. Edwards RB - BAL ,8.30,J. Jacobs RB - LV ,29.60,W. Fuller WR - HOU ,10.10,D. Metcalf WR - SEA ,4.80,C. Claypool WR - PIT ,21.30,J. Smith TE - TEN ,9.50,D. Chark WR - JAX ,9.60,J. Sanders K - MIA ,14.00,Ravens DEF ,1.00,N. Agholor WR - LV ,1.80,E. Elliott RB - DAL ,0.00,R. Higgins WR - CLE ,7.80,C. Carson RB - SEA ,0.00,J. Meyers WR - NE ,15.86,Browns DEF ,6.00,-,-,-,-,118.12,Kevin,175.36
Jess,8,J. Herbert QB - LAC ,20.48,M. Gordon RB - DEN ,4.60,D. Henry RB - TEN ,11.90,M. Jones WR - DET ,23.60,J. Smith-Schuster WR - PIT ,22.70,D. Moore WR - CAR ,19.60,J. Cook TE - NO ,0.00,H. Renfrow WR - LV ,7.00,D. Bailey K - MIN ,8.00,Rams DEF ,13.00,J. Jones WR - ATL ,0.00,C. Wentz QB - PHI ,8.72,S. Shepard WR - NYG ,10.70,J. Williams RB - GB ,8.50,D. Montgomery RB - CHI ,0.00,H. Butker K - KC ,0.00,-,-,-,-,130.88,Matt,110.54
Sam,3,K. Murray QB - ARI ,29.90,D. Cook RB - MIN ,15.20,J. Robinson RB - JAX ,13.20,R. Woods WR - LA ,8.60,S. Diggs WR - BUF ,25.30,C. Samuel WR - CAR ,4.20,E. Ebron TE - PIT ,5.80,A. Gibson RB - WAS ,22.50,T. Bass K - BUF ,18.00,Eagles DEF ,3.00,R. Gronkowski TE - TB ,13.10,D. Parker WR - MIA ,5.10,J. Crowder WR - NYJ ,0.00,K. Golladay WR - DET ,0.00,J. Dobbins RB - BAL ,2.40,D. Swift RB - DET ,25.90,Z. Ertz TE - PHI ,0.00,-,-,145.70,Liam,131.36
f,10,R. Tannehill QB - TEN ,10.78,J. McKinnon RB - SF ,7.00,D. Johnson RB - HOU ,0.00,C. Patterson WR - CHI ,26.40,T. Boyd WR - CIN ,10.10,K. Cole WR - JAX ,33.00,J. Graham TE - CHI ,0.00,J. McKissic RB - WAS ,17.90,J. Slye K - CAR ,6.00,Steelers DEF ,12.00,C. Newton QB - NE ,16.82,T. Kelce TE - KC ,0.00,B. Scott RB - PHI ,17.90,N. Fant TE - DEN ,4.80,P. Williams WR - MIA ,0.00,H. Ruggs WR - LV ,8.20,S. Barkley RB - NYG ,0.00,M. Gaskin RB - MIA ,0.00,123.18,Graham,155.50
