Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Jake,4,D. Watson QB - HOU ,23.42,M. Davis RB - CAR ,8.10,M. Sanders RB - PHI ,10.00,T. Lockett WR - SEA ,7.40,T. Hill WR - KC ,17.40,R. Anderson WR - CAR ,4.00,T. Hockenson TE - DET ,1.80,K. Hunt RB - CLE ,5.80,R. Blankenship K - IND ,11.00,Dolphins DEF ,9.00,H. Henry TE - LAC ,17.50,M. Thomas WR - NO ,0.00,W. Gallman RB - NYG ,2.90,A. Lazard WR - GB ,10.60,R. Gage WR - ATL ,17.80,C. Edwards-Helaire RB - KC ,9.30,-,-,97.92,Nolan,92.24
Lucas,8,L. Jackson QB - BAL ,29.22,R. Mostert RB - SF ,6.80,D. Singletary RB - BUF ,17.40,A. Cooper WR - DAL ,2.30,C. Godwin WR - TB ,13.60,J. Jefferson WR - MIN ,18.40,M. Andrews TE - BAL ,17.60,R. Tonyan TE - GB ,10.80,J. Tucker K - BAL ,9.00,49ers DEF ,-2.00,M. Ryan QB - ATL ,27.84,A. Peterson RB - DET ,2.30,C. McCaffrey RB - CAR ,0.00,M. Gallup WR - DAL ,11.60,C. Kirk WR - ARI ,8.30,M. Hardman WR - KC ,10.50,J. Brown WR - BUF ,0.00,123.12,Liam,149.36
Graham,6,A. Rodgers QB - GB ,18.32,A. Jones RB - GB ,24.80,J. Taylor RB - IND ,19.50,A. Thielen WR - MIN ,9.10,C. Ridley WR - ATL ,32.30,D. Johnson WR - PIT ,19.90,J. Cook TE - NO ,4.90,K. Drake RB - ARI ,6.00,J. Myers K - SEA ,10.00,Patriots DEF ,4.00,L. Murray RB - NO ,10.90,M. Evans WR - TB ,17.00,D. Johnson RB - HOU ,0.00,L. Fournette RB - TB ,21.50,C. Edmonds RB - ARI ,15.60,J. Akins TE - HOU ,10.00,R. Armstead RB - JAX ,0.00,148.82,Kevin,186.66
Liam,9,J. Allen QB - BUF ,37.66,A. Ekeler RB - LAC ,11.90,N. Hines RB - IND ,8.70,J. Landry WR - CLE ,19.10,D. Adams WR - GB ,11.20,C. Kupp WR - LA View News ,8.90,D. Goedert TE - PHI ,7.90,C. Davis WR - TEN ,21.00,Y. Koo K - ATL ,11.00,Bills DEF ,12.00,E. Sanders WR - NO ,11.60,T. Gurley RB - ATL ,3.40,K. Ballage RB - LAC ,7.10,T. Pollard RB - DAL ,33.20,T. Higgins WR - CIN ,6.10,J. Jeudy WR - DEN ,2.90,-,-,149.36,Lucas,123.12
Matt,5,T. Brady QB - TB ,23.40,J. Mixon RB - CIN ,0.00,N. Chubb RB - CLE ,14.60,K. Allen WR - LAC ,2.60,A. Robinson WR - CHI ,12.30,A. Brown WR - TEN ,15.40,G. Kittle TE - SF ,0.00,A. Brown WR - TB ,20.30,W. Lutz K - NO ,3.00,Buccaneers DEF ,3.00,B. Cooks WR - HOU ,11.90,J. White RB - NE ,9.50,D. Booker RB - LV ,1.20,A. Hooper TE - CLE ,15.10,J. Dobbins RB - BAL ,15.10,Seahawks DEF ,9.00,-,-,94.60,-,-
Kevin,2,P. Mahomes QB - KC ,25.86,A. Kamara RB - NO ,18.40,C. Akers RB - LA ,7.20,D. Hopkins WR - ARI ,30.00,T. McLaurin WR - WAS ,14.70,B. Aiyuk WR - SF ,22.30,D. Waller TE - LV ,30.00,C. Beasley WR - BUF ,19.20,D. Carlson K - LV ,9.00,Colts DEF ,10.00,T. Hilton WR - IND ,11.10,D. Parker WR - MIA ,0.00,J. Conner RB - PIT ,0.00,R. Jones RB - TB ,0.00,D. Harris RB - NE ,0.00,C. Lamb WR - DAL ,25.80,-,-,186.66,Graham,148.82
Nolan,1,R. Wilson QB - SEA ,12.04,E. Elliott RB - DAL ,0.00,C. Carson RB - SEA ,8.90,R. Higgins WR - CLE ,11.60,D. Metcalf WR - SEA ,9.30,C. Claypool WR - PIT ,7.80,J. Smith TE - TEN ,10.20,J. Jacobs RB - LV ,20.40,J. Sanders K - MIA ,2.00,Ravens DEF ,10.00,E. Ebron TE - PIT ,0.00,N. Agholor WR - LV ,8.90,M. Williams WR - LAC ,4.20,D. Chark WR - JAX ,9.30,J. Meyers WR - NE ,16.10,Browns DEF ,8.00,W. Fuller WR - HOU ,0.00,92.24,Jake,97.92
Jess,7,J. Herbert QB - LAC ,27.96,D. Henry RB - TEN ,25.20,D. Montgomery RB - CHI ,29.20,S. Shepard WR - NYG ,8.80,J. Smith-Schuster WR - PIT ,2.50,D. Moore WR - CAR ,19.20,M. Gesicki TE - MIA ,0.00,M. Jones WR - DET ,27.20,H. Butker K - KC ,6.00,Rams DEF ,2.00,J. Jones WR - ATL ,0.00,M. Gordon RB - DEN ,24.10,C. Wentz QB - PHI ,0.00,J. Williams RB - GB ,4.00,H. Renfrow WR - LV ,3.00,D. Bailey K - MIN ,9.00,-,-,148.06,f,129.52
Sam,3,K. Murray QB - ARI ,33.14,D. Cook RB - MIN ,26.90,J. Robinson RB - JAX ,14.30,R. Woods WR - LA ,21.60,S. Diggs WR - BUF ,25.70,C. Samuel WR - CAR ,8.80,R. Gronkowski TE - TB ,5.90,D. Swift RB - DET ,22.20,T. Bass K - BUF ,12.00,Football Team DEF ,3.00,B. Roethlisberger QB - PIT View News ,6.70,L. Thomas TE - WAS ,23.10,K. Golladay WR - DET ,0.00,K. Coutee WR - HOU ,14.30,M. Pittman WR - IND ,3.90,A. Gibson RB - WAS ,0.00,-,-,173.54,-,-
f,10,R. Tannehill QB - TEN ,37.02,J. McKinnon RB - SF ,6.50,D. Johnson RB - HOU ,24.30,C. Patterson WR - CHI ,8.60,T. Boyd WR - CIN ,0.00,K. Cole WR - JAX ,4.20,T. Kelce TE - KC ,22.80,B. Scott RB - PHI ,11.10,G. Zuerlein K - DAL ,13.00,Steelers DEF ,2.00,J. Graham TE - CHI ,4.50,C. Newton QB - NE ,12.16,J. McKissic RB - WAS ,25.70,M. Gaskin RB - MIA ,0.00,N. Fant TE - DEN ,20.80,H. Ruggs WR - LV ,0.00,P. Williams WR - MIA ,0.00,129.52,Jess,148.06
