Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Jake,3,D. Watson QB - HOU ,17.06,A. Jones RB - GB ,16.60,M. Sanders RB - PHI ,14.70,T. Lockett WR - SEA ,37.00,R. Anderson WR - CAR ,10.50,A. Lazard WR - GB ,26.40,T. Higbee TE - LA ,8.00,M. Davis RB - CAR ,23.10,R. Blankenship K - IND ,12.00,Patriots DEF ,15.00,B. Cooks WR - HOU ,5.30,H. Henry TE - LAC ,10.00,M. Thomas WR - NO ,0.00,K. Hunt RB - CLE ,14.40,A. Brown WR - TEN ,0.00,J. Burrow QB - CIN ,20.38,-,-,-,-,180.36,Liam,144.74
Lucas,5,L. Jackson QB - BAL ,14.18,A. Peterson RB - DET ,9.50,D. Singletary RB - BUF ,16.10,A. Cooper WR - DAL ,17.60,C. Godwin WR - TB ,17.40,M. Gallup WR - DAL ,25.80,M. Andrews TE - BAL ,5.20,J. Brown WR - BUF ,0.00,J. Tucker K - BAL ,9.00,49ers DEF ,12.00,G. Tate WR - NYG ,8.60,R. Mostert RB - SF ,0.00,W. Gallman RB - NYG ,3.40,C. Kirk WR - ARI ,0.00,D. Goedert TE - PHI ,1.70,J. Dobbins RB - BAL ,8.40,C. McCaffrey RB - CAR ,0.00,-,-,126.78,Kevin,174.80
Graham,7,A. Rodgers QB - GB ,24.52,E. Elliott RB - DAL ,17.80,J. Conner RB - PIT ,24.90,A. Thielen WR - MIN ,12.30,T. Hill WR - KC ,21.20,C. Ridley WR - ATL ,16.70,H. Hurst TE - ATL ,7.10,D. Johnson WR - PIT ,0.90,C. Boswell K - PIT ,8.00,Rams DEF ,4.00,L. Murray RB - NO ,7.50,J. Landry WR - CLE ,7.60,D. Freeman RB - NYG ,1.00,C. Edmonds RB - ARI ,14.40,Z. Moss RB - BUF ,0.00,C. Akers RB - LA ,0.00,R. Armstead RB - JAX ,0.00,-,-,137.42,Matt,156.02
Liam,8,J. Allen QB - BUF ,31.24,T. Gurley RB - ATL ,15.20,A. Ekeler RB - LAC ,31.30,C. Davis WR - TEN ,11.90,C. Kupp WR - LA View News ,25.70,M. Valdes-Scantling WR - GB ,1.50,Z. Ertz TE - PHI ,14.00,M. Brown RB - LA ,1.90,Y. Koo K - ATL ,7.00,Bills DEF ,5.00,E. Sanders WR - NO ,15.60,D. Adams WR - GB ,0.00,K. Cole WR - JAX ,10.70,S. Sims WR - WAS ,2.30,D. Swift RB - DET ,2.90,J. Kelley RB - LAC ,5.20,C. Sutton WR - DEN ,0.00,P. Campbell WR - IND ,0.00,144.74,Jake,180.36
Matt,4,M. Ryan QB - ATL ,11.42,N. Chubb RB - CLE ,24.00,C. Edwards-Helaire RB - KC ,18.40,J. Edelman WR - NE ,4.20,K. Allen WR - LAC ,30.20,A. Robinson WR - CHI ,28.30,E. Engram TE - NYG ,5.20,M. Brown WR - BAL ,3.30,W. Lutz K - NO ,13.00,Buccaneers DEF ,18.00,T. Hilton WR - IND ,8.20,R. Tannehill QB - TEN ,12.74,J. White RB - NE ,0.00,J. Mixon RB - CIN ,8.50,G. Kittle TE - SF ,0.00,D. Henderson RB - LA ,19.00,L. Bell RB - KC ,0.00,-,-,156.02,Graham,137.42
Kevin,2,P. Mahomes QB - KC ,40.00,A. Kamara RB - NO ,44.70,J. Taylor RB - IND ,13.20,A. Green WR - CIN ,8.60,D. Hopkins WR - ARI ,23.70,O. Beckham WR - CLE ,9.90,D. Waller TE - LV ,2.90,C. Lamb WR - DAL ,14.80,J. Elliott K - PHI ,14.00,Vikings DEF ,3.00,D. Jackson WR - PHI ,3.10,K. Johnson RB - DET ,4.00,R. Jones RB - TB ,9.30,S. Michel RB - NE ,16.00,M. Gesicki TE - MIA ,8.50,J. Jeudy WR - DEN ,10.50,-,-,-,-,174.80,Lucas,126.78
Nolan,1,R. Wilson QB - SEA ,36.80,C. Carson RB - SEA ,10.60,J. Jacobs RB - LV ,9.30,M. Evans WR - TB ,14.20,R. Gage WR - ATL ,4.60,D. Metcalf WR - SEA ,19.00,J. Smith TE - TEN ,11.10,K. Drake RB - ARI ,8.90,D. Carlson K - LV ,8.00,Ravens DEF ,7.00,G. Bernard RB - CIN ,9.90,W. Fuller WR - HOU ,15.50,L. Fournette RB - TB ,4.20,D. Chark WR - JAX ,0.00,D. Slayton WR - NYG ,6.30,L. Shenault WR - JAX ,8.40,-,-,-,-,129.50,f,113.88
Jess,9,J. Herbert QB - LAC ,14.70,M. Ingram RB - BAL View News ,3.00,D. Henry RB - TEN ,27.00,M. Jones WR - DET ,8.10,J. Smith-Schuster WR - PIT ,16.30,D. Moore WR - CAR ,8.50,J. Cook TE - NO ,4.10,M. Gordon RB - DEN ,7.80,H. Butker K - KC ,3.00,Chiefs DEF ,7.00,J. Jones WR - ATL ,0.00,T. Coleman RB - SF ,0.00,C. Wentz QB - PHI ,21.50,A. Hooper TE - CLE ,5.50,D. Montgomery RB - CHI ,7.40,T. Pollard RB - DAL ,0.50,S. Shepard WR - NYG ,0.00,-,-,99.50,Sam,188.60
Sam,6,K. Murray QB - ARI ,21.70,D. Cook RB - MIN ,25.90,J. Robinson RB - JAX ,30.90,D. Parker WR - MIA ,11.90,S. Diggs WR - BUF ,14.90,T. McLaurin WR - WAS ,12.60,T. Hockenson TE - DET ,9.30,R. Woods WR - LA ,21.40,R. Gould K - SF ,14.00,Colts DEF ,26.00,J. Crowder WR - NYJ ,0.00,K. Golladay WR - DET ,17.70,N. Hines RB - IND ,11.30,A. Mattison RB - MIN ,2.70,C. Claypool WR - PIT ,3.40,A. Gibson RB - WAS ,13.00,D. Harris RB - NE ,0.00,D. Samuel WR - SF ,0.00,188.60,Jess,99.50
f,10,C. Newton QB - NE ,11.18,J. McKinnon RB - SF ,16.70,D. Johnson RB - HOU ,12.60,T. Boyd WR - CIN ,22.50,N. Harry WR - NE ,5.60,H. Ruggs WR - LV ,0.00,T. Kelce TE - KC ,14.70,N. Fant TE - DEN ,9.60,J. Slye K - CAR ,14.00,Steelers DEF ,7.00,J. Graham TE - CHI ,24.00,D. Lewis RB - NYG ,2.00,D. Prescott QB - DAL View News ,27.48,B. Scott RB - PHI ,0.50,M. Gaskin RB - MIA ,14.50,P. Williams WR - MIA ,8.70,S. Barkley RB - NYG ,0.00,-,-,113.88,Nolan,129.50
