Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Jake,6,J. Burrow QB - CIN ,15.10,A. Jones RB - GB ,22.10,M. Sanders RB - PHI ,9.60,B. Cooks WR - HOU ,0.00,T. Lockett WR - SEA ,5.90,R. Anderson WR - CAR ,17.90,T. Higbee TE - LA ,5.00,M. Davis RB - CAR ,22.10,R. Blankenship K - IND ,14.00,Chargers DEF ,4.00,H. Henry TE - LAC ,5.90,M. Thomas WR - NO ,0.00,K. Hunt RB - CLE ,19.10,D. Watson QB - HOU ,20.90,A. Brown WR - TEN ,0.00,Patriots DEF ,4.00,-,-,-,-,115.70,Matt,134.50
Lucas,4,L. Jackson QB - BAL ,25.02,A. Peterson RB - DET ,9.60,D. Singletary RB - BUF ,18.70,A. Cooper WR - DAL ,33.40,M. Gallup WR - DAL ,4.90,J. Jefferson WR - MIN ,14.30,M. Andrews TE - BAL ,20.70,B. Aiyuk WR - SF ,13.60,J. Tucker K - BAL ,8.00,49ers DEF ,6.00,C. Hyde RB - SEA ,0.00,J. Brown WR - BUF ,8.20,R. Mostert RB - SF ,0.00,W. Gallman RB - NYG ,4.50,C. Godwin WR - TB ,0.00,J. Dobbins RB - BAL ,2.70,C. McCaffrey RB - CAR ,0.00,D. Goedert TE - PHI ,0.00,154.22,Jess,114.60
Graham,7,A. Rodgers QB - GB ,29.58,K. Drake RB - ARI ,3.50,J. Taylor RB - IND ,8.90,A. Thielen WR - MIN ,26.20,M. Evans WR - TB ,25.20,C. Ridley WR - ATL ,0.00,H. Hurst TE - ATL ,9.10,T. Hill WR - KC ,16.40,J. Myers K - SEA ,9.00,Rams DEF ,11.00,L. Murray RB - NO ,21.30,D. Freeman RB - NYG ,10.80,C. Edmonds RB - ARI ,15.00,D. Johnson WR - PIT ,0.00,Z. Moss RB - BUF ,0.00,C. Akers RB - LA ,0.00,R. Armstead RB - JAX ,0.00,-,-,138.88,Nolan,157.40
Liam,8,J. Allen QB - BUF ,25.42,T. Gurley RB - ATL ,19.30,A. Ekeler RB - LAC ,2.40,C. Kupp WR - LA View News ,19.30,M. Valdes-Scantling WR - GB ,8.50,L. Shenault WR - JAX ,14.10,Z. Ertz TE - PHI ,6.90,E. Sanders WR - NO ,15.30,G. Zuerlein K - DAL ,2.00,Broncos DEF ,6.00,S. Watkins WR - KC ,6.30,D. Adams WR - GB ,0.00,M. Brown RB - LA ,10.70,C. Davis WR - TEN ,0.00,S. Sims WR - WAS ,0.00,J. Kelley RB - LAC ,4.30,C. Sutton WR - DEN ,0.00,P. Campbell WR - IND ,0.00,119.22,Kevin,173.64
Matt,3,M. Ryan QB - ATL ,12.40,N. Chubb RB - CLE ,4.30,D. Henderson RB - LA ,4.70,K. Allen WR - LAC ,14.20,A. Robinson WR - CHI ,23.10,M. Brown WR - BAL ,12.60,G. Kittle TE - SF ,40.10,C. Edwards-Helaire RB - KC ,12.10,W. Lutz K - NO ,5.00,Buccaneers DEF ,6.00,J. Edelman WR - NE ,6.50,R. Fitzpatrick QB - MIA ,21.30,T. Hilton WR - IND ,5.90,J. White RB - NE ,12.90,E. Engram TE - NYG ,9.50,J. Mixon RB - CIN ,42.10,L. Bell RB - KC ,0.00,-,-,134.50,Jake,115.70
Kevin,2,P. Mahomes QB - KC ,20.24,A. Kamara RB - NO ,22.20,R. Jones RB - TB ,18.80,A. Green WR - CIN ,1.30,D. Hopkins WR - ARI ,11.10,O. Beckham WR - CLE ,38.40,D. Waller TE - LV ,15.80,C. Lamb WR - DAL ,27.80,D. Carlson K - LV ,13.00,Seahawks DEF ,5.00,R. Gronkowski TE - TB ,3.90,J. Landry WR - CLE ,15.28,J. Conner RB - PIT ,0.00,K. Johnson RB - DET ,2.20,S. Michel RB - NE ,0.00,J. Jeudy WR - DEN ,14.10,-,-,-,-,173.64,Liam,119.22
Nolan,1,R. Wilson QB - SEA ,20.90,C. Carson RB - SEA ,25.00,J. Jacobs RB - LV ,10.30,W. Fuller WR - HOU ,22.80,D. Chark WR - JAX ,29.50,D. Metcalf WR - SEA ,14.60,L. Thomas TE - WAS ,1.80,E. Elliott RB - DAL ,20.50,M. Crosby K - GB ,6.00,Ravens DEF ,6.00,R. Cobb WR - HOU ,5.60,G. Bernard RB - CIN ,1.90,L. Fournette RB - TB ,0.00,J. Smith TE - TEN ,0.00,R. Gage WR - ATL ,4.00,D. Slayton WR - NYG ,7.80,-,-,-,-,157.40,Graham,138.88
Jess,9,J. Herbert QB - LAC ,23.00,M. Gordon RB - DEN ,25.80,D. Montgomery RB - CHI ,10.70,J. Jones WR - ATL ,7.20,M. Jones WR - DET ,1.90,D. Moore WR - CAR ,8.90,A. Hooper TE - CLE ,14.40,M. Ingram RB - BAL View News ,10.70,H. Butker K - KC ,7.00,Packers DEF ,5.00,J. Cook TE - NO ,0.00,C. Wentz QB - PHI ,21.42,D. Henry RB - TEN ,0.00,J. Smith-Schuster WR - PIT ,0.00,H. Renfrow WR - LV ,12.30,Chiefs DEF ,20.00,T. Coleman RB - SF ,0.00,S. Shepard WR - NYG ,0.00,114.60,Lucas,154.22
Sam,5,K. Murray QB - ARI ,23.12,D. Cook RB - MIN ,28.60,J. Robinson RB - JAX ,14.70,D. Parker WR - MIA ,21.00,S. Diggs WR - BUF ,17.50,K. Golladay WR - DET ,16.20,T. Hockenson TE - DET ,10.90,R. Woods WR - LA ,9.80,R. Gould K - SF ,2.00,Colts DEF ,7.00,J. Crowder WR - NYJ ,17.40,M. Alie-Cox TE - IND ,8.30,N. Hines RB - IND ,10.40,T. McLaurin WR - WAS ,21.80,D. Samuel WR - SF ,7.50,A. Gibson RB - WAS ,22.80,D. Harris RB - NE ,10.00,-,-,150.82,f,128.68
f,10,D. Prescott QB - DAL View News ,37.28,J. McKinnon RB - SF ,22.70,D. Johnson RB - HOU ,11.20,T. Boyd WR - CIN ,16.40,N. Harry WR - NE ,11.10,P. Williams WR - MIA ,4.50,T. Kelce TE - KC ,10.00,N. Fant TE - DEN ,8.50,J. Slye K - CAR ,7.00,Steelers DEF ,0.00,J. Graham TE - CHI ,7.30,C. Newton QB - NE ,0.00,D. Lewis RB - NYG ,3.80,B. Scott RB - PHI ,1.60,M. Gaskin RB - MIA ,9.20,H. Ruggs WR - LV ,0.00,S. Barkley RB - NYG ,0.00,-,-,128.68,Sam,150.82
