Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Jake,4,D. Watson QB - HOU ,19.44,M. Sanders RB - PHI ,3.10,C. Edwards-Helaire RB - KC ,0.00,T. Lockett WR - SEA ,12.30,T. Hill WR - KC ,14.80,M. Thomas WR - NO ,19.50,T. Hockenson TE - DET ,15.40,W. Gallman RB - NYG ,13.50,R. Blankenship K - IND ,7.00,Dolphins DEF ,14.00,M. Davis RB - CAR ,0.00,H. Henry TE - LAC ,1.50,R. Anderson WR - CAR ,0.00,K. Hunt RB - CLE ,8.70,A. Lazard WR - GB ,8.00,T. Fulgham WR - PHI ,0.00,-,-,-,-,119.04,Matt,109.80
Lucas,8,M. Ryan QB - ATL ,12.92,F. Gore RB - NYJ ,0.20,R. Mostert RB - SF ,5.30,A. Cooper WR - DAL ,16.30,C. Kirk WR - ARI ,1.20,J. Jefferson WR - MIN ,27.30,R. Tonyan TE - GB ,13.90,D. Singletary RB - BUF ,11.30,J. Tucker K - BAL ,10.00,49ers DEF ,2.00,A. Peterson RB - DET ,17.70,C. McCaffrey RB - CAR ,0.00,C. Godwin WR - TB ,0.00,M. Gallup WR - DAL ,21.60,M. Andrews TE - BAL ,0.00,M. Hardman WR - KC ,3.00,J. Brown WR - BUF ,0.00,L. Jackson QB - BAL ,25.68,100.42,Jess,134.16
Graham,6,A. Rodgers QB - GB ,23.50,K. Drake RB - ARI ,13.80,A. Jones RB - GB ,23.80,A. Thielen WR - MIN ,21.50,C. Ridley WR - ATL ,15.80,D. Johnson WR - PIT ,21.10,J. Reed TE - SF ,12.20,J. Taylor RB - IND ,22.50,J. Myers K - SEA ,4.00,Packers DEF ,10.00,L. Bell RB - KC ,7.50,L. Murray RB - NO ,3.70,M. Evans WR - TB ,0.00,L. Fournette RB - TB ,0.00,C. Edmonds RB - ARI ,11.70,H. Hurst TE - ATL ,1.90,R. Armstead RB - JAX ,0.00,-,-,168.20,Nolan,113.02
Liam,9,J. Allen QB - BUF ,30.10,A. Ekeler RB - LAC ,10.80,N. Hines RB - IND ,16.30,J. Landry WR - CLE ,20.44,D. Adams WR - GB ,34.10,C. Kupp WR - LA View News ,15.30,D. Goedert TE - PHI ,11.60,T. Higgins WR - CIN ,10.60,Y. Koo K - ATL ,12.00,Saints DEF ,6.00,T. Gurley RB - ATL ,3.00,C. Davis WR - TEN ,35.20,K. Ballage RB - LAC ,6.90,T. Pollard RB - DAL ,16.40,J. Jeudy WR - DEN ,1.50,Cardinals DEF ,2.00,-,-,-,-,167.24,Kevin,145.72
Matt,5,K. Cousins QB - MIN ,21.40,D. Booker RB - LV ,6.10,N. Chubb RB - CLE ,17.60,K. Allen WR - LAC ,9.80,A. Robinson WR - CHI ,13.50,A. Brown WR - TEN ,10.70,E. Engram TE - NYG ,7.20,B. Cooks WR - HOU ,11.50,W. Lutz K - NO ,3.00,Seahawks DEF ,9.00,T. Brady QB - TB ,0.00,A. Brown WR - TB ,0.00,G. Bernard RB - CIN ,4.90,J. White RB - NE ,3.10,A. Hooper TE - CLE ,4.40,Buccaneers DEF ,0.00,J. Mixon RB - CIN ,0.00,G. Kittle TE - SF ,0.00,109.80,Jake,119.04
Kevin,2,P. Mahomes QB - KC ,19.32,A. Kamara RB - NO ,17.70,B. Snell RB - PIT ,3.00,D. Hopkins WR - ARI ,19.20,T. McLaurin WR - WAS ,3.40,C. Lamb WR - DAL ,10.60,D. Waller TE - LV ,45.00,D. Parker WR - MIA ,7.50,D. Carlson K - LV ,8.00,Colts DEF ,12.00,C. Beasley WR - BUF ,28.00,R. Jones RB - TB ,0.00,D. Harris RB - NE ,10.50,D. Henderson RB - LA ,15.40,D. Mims WR - NYJ ,8.00,B. Aiyuk WR - SF ,22.10,J. Conner RB - PIT ,0.00,-,-,145.72,Liam,167.24
Nolan,1,R. Wilson QB - SEA ,15.02,E. Elliott RB - DAL ,13.50,C. Carson RB - SEA ,20.00,D. Chark WR - JAX ,6.10,D. Metcalf WR - SEA ,13.00,C. Claypool WR - PIT ,5.80,E. Ebron TE - PIT ,13.80,N. Agholor WR - LV ,7.80,J. Sanders K - MIA ,14.00,Ravens DEF ,4.00,R. Higgins WR - CLE ,21.50,J. Smith TE - TEN ,0.00,M. Williams WR - LAC ,8.30,J. Jacobs RB - LV ,0.00,J. Meyers WR - NE ,3.50,Browns DEF ,5.00,W. Fuller WR - HOU ,0.00,-,-,113.02,Graham,168.20
Jess,7,J. Herbert QB - LAC ,4.36,D. Henry RB - TEN ,5.90,D. Montgomery RB - CHI ,27.10,J. Jones WR - ATL ,15.40,S. Shepard WR - NYG ,5.20,J. Smith-Schuster WR - PIT ,9.80,M. Gesicki TE - MIA ,23.80,M. Jones WR - DET ,25.60,D. Bailey K - MIN ,6.00,Rams DEF ,11.00,M. Gordon RB - DEN ,15.20,C. Wentz QB - PHI ,4.96,J. Williams RB - GB ,5.60,D. Moore WR - CAR ,0.00,H. Renfrow WR - LV ,11.00,H. Butker K - KC ,17.00,-,-,-,-,134.16,Lucas,100.42
Sam,3,K. Murray QB - ARI ,16.42,D. Cook RB - MIN ,23.90,A. Gibson RB - WAS ,1.40,R. Woods WR - LA ,18.50,S. Diggs WR - BUF ,19.20,D. Samuel WR - SF ,13.60,Z. Ertz TE - PHI ,5.10,J. Robinson RB - JAX ,22.80,T. Bass K - BUF ,10.00,Chiefs DEF ,5.00,R. Gronkowski TE - TB ,0.00,B. Roethlisberger QB - PIT View News ,18.20,K. Golladay WR - DET ,0.00,C. Samuel WR - CAR ,0.00,D. Swift RB - DET ,0.00,M. Pittman WR - IND ,9.60,-,-,-,-,135.92,f,128.46
f,10,R. Tannehill QB - TEN ,27.56,J. McKinnon RB - SF ,0.00,J. McKissic RB - WAS ,17.80,C. Patterson WR - CHI ,17.80,T. Boyd WR - CIN ,14.20,K. Cole WR - JAX ,3.00,T. Kelce TE - KC ,27.60,B. Scott RB - PHI ,12.50,G. Zuerlein K - DAL ,5.00,Steelers DEF ,3.00,J. Graham TE - CHI ,0.00,C. Newton QB - NE ,23.56,D. Johnson RB - HOU ,10.40,M. Gaskin RB - MIA ,14.10,N. Fant TE - DEN ,9.70,H. Ruggs WR - LV ,18.60,P. Williams WR - MIA ,0.00,-,-,128.46,Sam,135.92
