Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Jake,5,D. Watson QB - HOU ,33.12,K. Hunt RB - CLE ,6.20,M. Sanders RB - PHI ,6.20,T. Lockett WR - SEA ,5.30,T. Hill WR - KC ,57.90,M. Thomas WR - NO ,9.10,T. Hockenson TE - DET ,13.90,M. Davis RB - CAR ,10.90,R. Blankenship K - IND ,2.00,Dolphins DEF ,14.00,H. Henry TE - LAC ,13.70,R. Anderson WR - CAR ,19.40,W. Gallman RB - NYG ,18.10,A. Lazard WR - GB ,12.30,T. Fulgham WR - PHI ,3.60,C. Edwards-Helaire RB - KC ,4.90,-,-,-,-,158.62,Liam,157.48
Lucas,6,M. Ryan QB - ATL ,13.90,F. Gore RB - NYJ ,11.60,A. Peterson RB - DET ,17.50,A. Cooper WR - DAL ,23.20,C. Godwin WR - TB ,17.70,J. Jefferson WR - MIN ,26.00,R. Tonyan TE - GB ,17.70,C. Kirk WR - ARI ,5.60,J. Tucker K - BAL ,2.00,49ers DEF ,17.00,R. Mostert RB - SF ,10.30,C. McCaffrey RB - CAR ,0.00,M. Gallup WR - DAL ,10.10,M. Andrews TE - BAL ,0.00,M. Hardman WR - KC ,7.30,D. Singletary RB - BUF ,11.20,J. Brown WR - BUF ,0.00,L. Jackson QB - BAL ,0.00,152.20,Kevin,118.68
Graham,7,A. Rodgers QB - GB ,25.64,K. Drake RB - ARI ,24.30,L. Fournette RB - TB ,5.00,M. Evans WR - TB ,20.00,C. Ridley WR - ATL ,17.00,D. Slayton WR - NYG ,0.00,H. Hurst TE - ATL ,8.80,A. Jones RB - GB ,10.00,R. Succop K - TB ,6.00,Football Team DEF ,15.00,J. Reed TE - SF ,3.80,L. Bell RB - KC ,5.20,L. Murray RB - NO ,25.60,C. Edmonds RB - ARI ,10.10,D. Johnson WR - PIT ,12.60,J. Taylor RB - IND ,0.00,A. Thielen WR - MIN ,0.00,R. Armstead RB - JAX ,0.00,131.74,Matt,159.70
Liam,9,J. Allen QB - BUF ,15.48,A. Ekeler RB - LAC ,23.90,N. Hines RB - IND ,17.50,D. Adams WR - GB ,18.10,C. Kupp WR - LA View News ,6.10,T. Higgins WR - CIN ,15.40,D. Goedert TE - PHI ,20.50,B. Hill RB - ATL ,5.50,Y. Koo K - ATL ,21.00,Saints DEF ,14.00,J. Landry WR - CLE ,28.30,T. Gurley RB - ATL ,0.00,C. Davis WR - TEN ,10.00,K. Ballage RB - LAC ,0.00,T. Pollard RB - DAL ,4.20,J. Jeudy WR - DEN ,0.00,-,-,-,-,157.48,Jake,158.62
Matt,4,T. Brady QB - TB ,21.70,J. White RB - NE ,14.70,N. Chubb RB - CLE ,26.60,K. Allen WR - LAC ,16.00,B. Cooks WR - HOU ,13.50,A. Brown WR - TEN ,30.00,E. Engram TE - NYG ,16.90,A. Brown WR - TB ,3.30,W. Lutz K - NO ,8.00,Seahawks DEF ,9.00,G. Bernard RB - CIN ,6.90,D. Carr QB - LV ,0.60,A. Robinson WR - CHI ,27.40,A. Hooper TE - CLE ,9.30,Z. Moss RB - BUF ,8.80,Buccaneers DEF ,4.00,J. Mixon RB - CIN ,0.00,G. Kittle TE - SF ,0.00,159.70,Graham,131.74
Kevin,2,P. Mahomes QB - KC ,31.28,A. Kamara RB - NO ,6.20,R. Jones RB - TB ,17.30,D. Hopkins WR - ARI ,10.50,T. McLaurin WR - WAS ,16.20,C. Lamb WR - DAL ,8.00,D. Waller TE - LV ,6.30,D. Parker WR - MIA ,19.90,D. Carlson K - LV ,6.00,Colts DEF ,-3.00,A. Green WR - CIN ,0.00,C. Beasley WR - BUF ,9.30,S. Michel RB - NE ,0.00,D. Harris RB - NE ,4.70,D. Henderson RB - LA ,1.90,J. Conner RB - PIT ,0.00,B. Aiyuk WR - SF ,0.00,-,-,118.68,Lucas,152.20
Nolan,1,R. Wilson QB - SEA ,14.40,E. Elliott RB - DAL ,2.90,J. Jacobs RB - LV ,5.40,W. Fuller WR - HOU ,35.10,D. Metcalf WR - SEA ,27.70,C. Claypool WR - PIT ,11.20,J. Smith TE - TEN ,0.00,C. Carson RB - SEA ,13.90,J. Sanders K - MIA ,12.00,Browns DEF ,0.00,N. Agholor WR - LV ,10.40,R. Higgins WR - CLE ,2.50,D. Chark WR - JAX ,0.00,G. Edwards RB - BAL ,7.00,J. Meyers WR - NE ,10.20,Ravens DEF ,8.00,-,-,-,-,122.60,f,87.34
Jess,8,J. Herbert QB - LAC ,16.44,D. Henry RB - TEN ,38.50,D. Montgomery RB - CHI ,25.30,S. Shepard WR - NYG ,13.80,J. Smith-Schuster WR - PIT ,17.70,D. Moore WR - CAR ,10.10,J. Cook TE - NO ,0.00,M. Jones WR - DET ,10.80,D. Bailey K - MIN ,10.00,Rams DEF ,15.00,J. Jones WR - ATL ,0.00,M. Gordon RB - DEN ,3.10,C. Wentz QB - PHI ,18.80,J. Williams RB - GB ,13.30,H. Renfrow WR - LV ,14.90,H. Butker K - KC ,9.00,-,-,-,-,157.64,Sam,157.60
Sam,3,K. Murray QB - ARI ,7.90,D. Cook RB - MIN ,10.20,A. Gibson RB - WAS ,36.60,R. Woods WR - LA ,15.80,S. Diggs WR - BUF ,10.90,C. Samuel WR - CAR ,12.70,R. Gronkowski TE - TB ,16.60,J. Robinson RB - JAX ,26.90,T. Bass K - BUF ,11.00,Giants DEF ,9.00,K. Golladay WR - DET ,0.00,T. Hill QB - NO ,17.52,D. Samuel WR - SF ,24.30,D. Swift RB - DET ,0.00,M. Pittman WR - IND ,4.80,Chiefs DEF ,5.00,Z. Ertz TE - PHI ,0.00,-,-,157.60,Jess,157.64
f,10,R. Tannehill QB - TEN ,19.14,J. McKinnon RB - SF ,5.20,J. McKissic RB - WAS ,4.70,T. Boyd WR - CIN ,4.50,K. Cole WR - JAX ,7.40,D. Harris WR - NO ,0.00,T. Kelce TE - KC ,16.20,J. Graham TE - CHI ,6.20,J. Slye K - CAR ,10.00,Steelers DEF ,14.00,C. Newton QB - NE ,3.96,C. Patterson WR - CHI ,4.90,B. Scott RB - PHI ,19.20,N. Fant TE - DEN ,2.30,P. Williams WR - MIA ,0.00,H. Ruggs WR - LV ,12.30,D. Johnson RB - HOU ,0.00,M. Gaskin RB - MIA ,0.00,87.34,Nolan,122.60
