Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Jake,4,D. Watson QB - HOU ,16.56,M. Davis RB - CAR ,26.30,W. Gallman RB - NYG ,10.30,T. Lockett WR - SEA ,10.20,T. Hill WR - KC ,26.10,M. Thomas WR - NO ,16.40,T. Hockenson TE - DET ,16.30,R. Anderson WR - CAR ,17.70,R. Blankenship K - IND ,14.00,Dolphins DEF ,10.00,H. Henry TE - LAC ,10.10,K. Hunt RB - CLE ,29.00,A. Lazard WR - GB ,3.90,T. Fulgham WR - PHI ,0.00,M. Sanders RB - PHI ,29.60,C. Edwards-Helaire RB - KC ,14.10,-,-,-,-,163.86,Matt,143.64
Lucas,8,M. Ryan QB - ATL ,7.26,F. Gore RB - NYJ ,2.10,R. Mostert RB - SF ,9.00,A. Cooper WR - DAL ,15.10,C. Kirk WR - ARI ,12.10,J. Jefferson WR - MIN ,9.90,R. Tonyan TE - GB ,14.60,D. Singletary RB - BUF ,4.40,J. Tucker K - BAL ,8.00,49ers DEF ,8.00,A. Peterson RB - DET ,4.00,C. McCaffrey RB - CAR ,0.00,C. Godwin WR - TB ,4.50,M. Gallup WR - DAL ,4.30,M. Andrews TE - BAL ,12.80,M. Hardman WR - KC ,19.20,J. Brown WR - BUF ,0.00,L. Jackson QB - BAL ,34.92,90.46,-,-
Graham,6,A. Rodgers QB - GB ,30.90,A. Jones RB - GB ,9.50,J. Taylor RB - IND ,30.50,A. Thielen WR - MIN ,6.90,C. Ridley WR - ATL ,26.40,D. Johnson WR - PIT ,8.00,J. Akins TE - HOU ,5.00,K. Drake RB - ARI ,16.00,J. Myers K - SEA ,10.00,Patriots DEF ,4.00,J. Reed TE - SF ,3.30,L. Murray RB - NO ,1.70,M. Evans WR - TB ,8.60,D. Johnson RB - HOU ,7.90,L. Fournette RB - TB ,0.00,C. Edmonds RB - ARI ,11.50,R. Armstead RB - JAX ,0.00,-,-,147.20,Sam,119.06
Liam,9,J. Allen QB - BUF ,18.32,A. Ekeler RB - LAC ,23.60,N. Hines RB - IND ,11.70,J. Landry WR - CLE ,11.68,D. Adams WR - GB ,24.50,C. Kupp WR - LA View News ,14.30,D. Goedert TE - PHI ,8.30,C. Davis WR - TEN ,4.40,Y. Koo K - ATL ,6.00,Saints DEF ,2.00,T. Gurley RB - ATL ,5.10,K. Ballage RB - LAC ,3.00,T. Pollard RB - DAL ,20.50,T. Higgins WR - CIN ,9.90,J. Jeudy WR - DEN ,6.20,Cardinals DEF ,18.00,-,-,-,-,124.80,-,-
Matt,5,T. Brady QB - TB ,15.64,G. Bernard RB - CIN ,3.30,N. Chubb RB - CLE ,24.30,K. Allen WR - LAC ,20.20,A. Robinson WR - CHI ,27.30,A. Brown WR - TEN ,24.20,E. Engram TE - NYG ,3.80,A. Brown WR - TB ,9.90,W. Lutz K - NO ,3.00,Seahawks DEF ,12.00,B. Cooks WR - HOU ,0.00,J. White RB - NE ,2.80,D. Booker RB - LV ,4.90,A. Hooper TE - CLE ,0.00,J. Dobbins RB - BAL ,13.30,Buccaneers DEF ,9.00,J. Mixon RB - CIN ,0.00,G. Kittle TE - SF ,0.00,143.64,Jake,163.86
Kevin,2,P. Mahomes QB - KC ,18.62,J. Conner RB - PIT ,1.80,A. Kamara RB - NO ,22.40,D. Hopkins WR - ARI ,22.60,T. McLaurin WR - WAS ,4.40,C. Lamb WR - DAL ,8.10,D. Waller TE - LV ,14.50,R. Jones RB - TB ,15.40,D. Carlson K - LV ,9.00,Colts DEF ,12.00,C. Beasley WR - BUF ,9.10,D. Parker WR - MIA ,0.00,D. Harris RB - NE ,6.00,D. Henderson RB - LA ,0.50,D. Mims WR - NYJ ,0.00,B. Aiyuk WR - SF ,22.90,-,-,-,-,128.82,-,-
Nolan,1,R. Wilson QB - SEA ,22.14,E. Elliott RB - DAL ,7.90,C. Carson RB - SEA ,18.80,D. Chark WR - JAX ,3.60,D. Metcalf WR - SEA ,18.10,C. Claypool WR - PIT ,4.50,E. Ebron TE - PIT ,7.00,J. Jacobs RB - LV ,10.40,J. Sanders K - MIA ,10.00,Ravens DEF ,0.00,N. Agholor WR - LV ,21.00,R. Higgins WR - CLE ,18.80,J. Smith TE - TEN ,4.30,M. Williams WR - LAC ,0.00,J. Meyers WR - NE ,8.70,Browns DEF ,2.00,W. Fuller WR - HOU ,0.00,-,-,102.44,-,-
Jess,7,J. Herbert QB - LAC ,15.72,D. Henry RB - TEN ,36.20,D. Montgomery RB - CHI ,24.50,J. Jones WR - ATL ,0.00,S. Shepard WR - NYG ,6.50,J. Smith-Schuster WR - PIT ,17.50,M. Gesicki TE - MIA ,23.50,M. Jones WR - DET ,8.80,D. Bailey K - MIN ,-1.00,Rams DEF ,21.00,M. Gordon RB - DEN ,12.10,C. Wentz QB - PHI ,0.00,J. Williams RB - GB ,5.80,D. Moore WR - CAR ,0.00,H. Renfrow WR - LV ,7.90,H. Butker K - KC ,8.00,-,-,-,-,152.72,-,-
Sam,3,K. Murray QB - ARI ,18.46,D. Cook RB - MIN ,19.00,J. Robinson RB - JAX ,12.30,R. Woods WR - LA ,8.10,S. Diggs WR - BUF ,29.10,D. Samuel WR - SF ,0.90,R. Gronkowski TE - TB ,7.20,D. Swift RB - DET ,15.00,T. Bass K - BUF ,7.00,Panthers DEF ,2.00,B. Roethlisberger QB - PIT View News ,13.48,L. Thomas TE - WAS ,10.30,K. Golladay WR - DET ,0.00,M. Pittman WR - IND ,6.50,A. Gibson RB - WAS ,0.00,Giants DEF ,1.00,C. Samuel WR - CAR ,16.00,-,-,119.06,Graham,147.20
f,10,R. Tannehill QB - TEN ,16.48,J. McKinnon RB - SF ,0.00,D. Johnson RB - HOU ,0.00,C. Patterson WR - CHI ,2.60,T. Boyd WR - CIN ,9.30,K. Cole WR - JAX ,19.70,T. Kelce TE - KC ,27.60,B. Scott RB - PHI ,2.70,G. Zuerlein K - DAL ,14.00,Steelers DEF ,6.00,J. Graham TE - CHI ,12.30,C. Newton QB - NE ,4.36,J. McKissic RB - WAS ,10.60,M. Gaskin RB - MIA ,0.00,N. Fant TE - DEN ,0.00,H. Ruggs WR - LV ,7.20,P. Williams WR - MIA ,0.00,-,-,98.38,-,-
