Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Jake,5,D. Watson QB - HOU ,14.70,A. Jones RB - GB ,45.60,M. Sanders RB - PHI ,20.10,T. Hilton WR - IND ,5.80,T. Lockett WR - SEA ,19.70,A. Lazard WR - GB ,7.50,T. Higbee TE - LA ,28.40,K. Hunt RB - CLE ,24.10,J. Myers K - SEA ,5.00,Patriots DEF ,6.00,B. Cooks WR - HOU ,14.50,H. Henry TE - LAC ,14.30,M. Thomas WR - NO ,0.00,R. Anderson WR - CAR ,17.90,A. Brown WR - TEN ,0.00,J. Burrow QB - CIN ,24.54,-,-,-,-,176.90,Graham,141.70
Lucas,2,L. Jackson QB - BAL ,17.56,C. McCaffrey RB - CAR ,24.80,D. Singletary RB - BUF ,9.60,A. Cooper WR - DAL ,16.00,M. Gallup WR - DAL ,7.80,C. Kirk WR - ARI ,8.40,M. Andrews TE - BAL ,3.90,A. Peterson RB - DET ,4.10,J. Tucker K - BAL ,16.00,49ers DEF ,5.00,D. Brees QB - NO ,14.48,J. Brown WR - BUF ,18.20,R. Mostert RB - SF ,18.70,C. Godwin WR - TB ,0.00,D. Goedert TE - PHI ,7.00,J. Dobbins RB - BAL ,7.10,-,-,-,-,113.16,Liam,111.50
Graham,3,A. Rodgers QB - GB ,19.20,E. Elliott RB - DAL ,22.20,Z. Moss RB - BUF ,3.70,A. Thielen WR - MIN ,6.10,J. Landry WR - CLE ,7.60,T. Hill WR - KC ,21.80,H. Hurst TE - ATL ,18.20,C. Ridley WR - ATL ,29.90,C. Boswell K - PIT ,6.00,Rams DEF ,7.00,L. Murray RB - NO ,5.30,J. Conner RB - PIT ,20.10,C. Edmonds RB - ARI ,4.30,M. Valdes-Scantling WR - GB ,9.40,D. Johnson WR - PIT ,28.10,C. Akers RB - LA ,1.30,R. Armstead RB - JAX ,0.00,-,-,141.70,Jake,176.90
Liam,7,J. Allen QB - BUF ,34.50,T. Gurley RB - ATL ,6.10,A. Ekeler RB - LAC ,18.80,D. Adams WR - GB ,6.60,C. Kupp WR - LA View News ,13.80,P. Campbell WR - IND ,0.70,Z. Ertz TE - PHI ,9.20,E. Sanders WR - NO ,2.80,Y. Koo K - ATL ,17.00,Bills DEF ,2.00,M. Brown RB - LA ,4.70,T. Cohen RB - CHI ,3.70,C. Sutton WR - DEN ,9.60,S. Sims WR - WAS ,12.10,D. Swift RB - DET ,12.20,J. Kelley RB - LAC ,13.30,-,-,-,-,111.50,Lucas,113.16
Matt,6,M. Ryan QB - ATL ,28.52,J. Mixon RB - CIN ,12.60,N. Chubb RB - CLE ,26.30,J. Edelman WR - NE ,25.90,S. Watkins WR - KC ,2.10,M. Brown WR - BAL ,9.20,E. Engram TE - NYG ,12.50,C. Edwards-Helaire RB - KC ,13.00,W. Lutz K - NO ,6.00,Buccaneers DEF ,14.00,K. Allen WR - LAC ,16.60,J. McKinnon RB - SF ,20.80,J. White RB - NE ,0.00,D. Johnson RB - HOU ,7.00,G. Kittle TE - SF ,0.00,A. Miller WR - CHI ,0.00,-,-,-,-,150.12,f,142.58
Kevin,4,P. Mahomes QB - KC ,27.48,A. Kamara RB - NO ,38.40,J. Taylor RB - IND ,19.00,A. Green WR - CIN ,5.90,D. Hopkins WR - ARI ,20.80,O. Beckham WR - CLE ,17.40,D. Waller TE - LV ,28.50,R. Jones RB - TB ,10.70,J. Elliott K - PHI ,7.00,Vikings DEF ,4.00,D. Jackson WR - PHI ,12.40,K. Johnson RB - DET ,9.20,S. Michel RB - NE ,1.90,M. Gesicki TE - MIA ,27.00,C. Lamb WR - DAL ,17.80,J. Jeudy WR - DEN ,10.20,-,-,-,-,179.18,Sam,146.14
Nolan,1,R. Wilson QB - SEA ,33.42,C. Carson RB - SEA ,19.80,J. Jacobs RB - LV ,13.50,M. Evans WR - TB ,23.40,D. Chark WR - JAX ,12.40,D. Metcalf WR - SEA ,19.20,O. Howard TE - TB ,2.10,K. Drake RB - ARI ,11.50,J. Lambo K - JAX ,5.00,Ravens DEF ,15.00,G. Bernard RB - CIN ,7.50,W. Fuller WR - HOU ,0.00,L. Fournette RB - TB ,27.60,D. Slayton WR - NYG ,6.30,B. Snell RB - PIT ,-0.90,B. Edwards WR - LV ,6.20,-,-,-,-,155.32,Jess,115.38
Jess,8,C. Wentz QB - PHI ,12.38,M. Ingram RB - BAL View News ,15.70,D. Henry RB - TEN ,8.40,J. Jones WR - ATL ,4.40,J. Smith-Schuster WR - PIT ,11.80,D. Moore WR - CAR ,20.00,J. Cook TE - NO ,9.30,M. Gordon RB - DEN ,16.40,H. Butker K - KC ,12.00,Chiefs DEF ,5.00,M. Jones WR - DET ,12.30,T. Coleman RB - SF ,6.00,S. Shepard WR - NYG ,5.50,A. Hooper TE - CLE ,4.20,D. Montgomery RB - CHI ,21.70,T. Pollard RB - DAL ,12.50,-,-,-,-,115.38,Nolan,155.32
Sam,9,K. Murray QB - ARI ,32.14,D. Cook RB - MIN ,17.10,N. Hines RB - IND ,5.40,R. Woods WR - LA ,11.30,S. Diggs WR - BUF ,29.30,T. McLaurin WR - WAS ,25.50,T. Hockenson TE - DET ,10.20,S. Miller WR - TB ,3.20,R. Gould K - SF ,8.00,Saints DEF ,4.00,D. Parker WR - MIA ,16.30,J. Crowder WR - NYJ ,0.00,K. Golladay WR - DET ,0.00,A. Mattison RB - MIN ,2.60,J. Robinson RB - JAX ,21.00,A. Gibson RB - WAS ,12.20,D. Harris RB - NE ,0.00,D. Samuel WR - SF ,0.00,146.14,Kevin,179.18
f,10,C. Newton QB - NE ,34.58,S. Barkley RB - NYG ,2.80,B. Scott RB - PHI ,13.40,A. Robinson WR - CHI ,6.30,T. Boyd WR - CIN ,20.20,P. Williams WR - MIA ,5.60,T. Kelce TE - KC ,24.00,N. Fant TE - DEN ,17.70,J. Slye K - CAR ,5.00,Steelers DEF ,13.00,J. Graham TE - CHI ,2.80,D. Prescott QB - DAL View News ,39.80,P. Lindsay RB - DEN ,0.00,M. Gaskin RB - MIA ,14.20,N. Harry WR - NE ,15.20,H. Ruggs WR - LV ,3.00,L. Bell RB - KC ,0.00,-,-,142.58,Matt,150.12
