Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Jake,5,D. Watson QB - HOU ,24.86,K. Hunt RB - CLE ,18.30,M. Sanders RB - PHI ,23.90,T. Lockett WR - SEA ,8.40,R. Anderson WR - CAR ,19.50,A. Brown WR - TEN ,21.20,T. Higbee TE - LA ,3.20,M. Davis RB - CAR ,29.90,R. Blankenship K - IND ,11.00,Saints DEF ,3.00,H. Henry TE - LAC ,12.30,M. Thomas WR - NO ,0.00,A. Jones RB - GB ,0.00,D. Johnson RB - CLE ,4.60,J. Burrow QB - CIN ,4.32,Patriots DEF ,0.00,A. Lazard WR - GB ,0.00,-,-,163.26,Kevin,173.52
Lucas,4,L. Jackson QB - BAL ,13.50,R. Mostert RB - SF ,14.90,D. Singletary RB - BUF ,4.30,A. Cooper WR - DAL ,4.10,M. Gallup WR - DAL ,11.30,J. Jefferson WR - MIN ,5.30,M. Andrews TE - BAL ,17.60,J. Brown WR - BUF ,0.00,J. Tucker K - BAL ,10.00,49ers DEF ,-2.00,A. Peterson RB - DET ,0.00,C. Hyde RB - SEA ,0.00,W. Gallman RB - NYG ,4.40,C. Godwin WR - TB ,0.00,J. Dobbins RB - BAL ,8.50,B. Aiyuk WR - SF ,7.40,C. McCaffrey RB - CAR ,0.00,D. Goedert TE - PHI ,0.00,79.00,f,141.64
Graham,7,T. Bridgewater QB - CAR ,20.82,K. Drake RB - ARI ,13.20,J. Taylor RB - IND ,15.40,A. Thielen WR - MIN ,29.30,M. Evans WR - TB ,15.10,C. Ridley WR - ATL ,21.60,H. Hurst TE - ATL ,2.80,T. Hill WR - KC ,18.30,J. Myers K - SEA ,3.00,Rams DEF ,12.00,A. Rodgers QB - GB ,0.00,L. Murray RB - NO ,7.70,D. Freeman RB - NYG ,16.70,C. Edmonds RB - ARI ,23.30,D. Johnson WR - PIT ,2.00,C. Akers RB - LA ,6.10,R. Armstead RB - JAX ,0.00,-,-,151.52,Sam,132.90
Liam,8,G. Minshew QB - JAX ,19.84,T. Gurley RB - ATL ,25.00,J. Kelley RB - LAC ,4.80,S. Watkins WR - KC ,10.40,C. Kupp WR - LA View News ,13.60,L. Shenault WR - JAX ,14.90,Z. Ertz TE - PHI ,1.60,T. Higgins WR - CIN ,10.20,G. Zuerlein K - DAL ,14.00,Cardinals DEF ,7.00,E. Sanders WR - NO ,24.20,D. Adams WR - GB ,0.00,P. Lindsay RB - DEN ,0.00,M. Valdes-Scantling WR - GB ,0.00,J. Allen QB - BUF ,16.32,J. Jeudy WR - DEN ,0.00,A. Ekeler RB - LAC ,0.00,P. Campbell WR - IND ,0.00,121.34,Jess,118.26
Matt,3,B. Roethlisberger QB - PIT View News ,21.36,J. Mixon RB - CIN ,15.40,C. Edwards-Helaire RB - KC ,11.00,K. Allen WR - LAC ,10.90,A. Robinson WR - CHI ,19.00,M. Brown WR - BAL ,22.80,G. Kittle TE - SF ,8.40,L. Bell RB - KC ,7.70,W. Lutz K - NO ,15.00,Buccaneers DEF ,6.00,M. Ryan QB - ATL ,6.94,J. Edelman WR - NE ,0.00,T. Hilton WR - IND ,12.90,J. White RB - NE ,0.00,E. Engram TE - NYG ,9.50,Chargers DEF ,3.00,N. Chubb RB - CLE ,0.00,-,-,137.56,Nolan,176.38
Kevin,2,P. Mahomes QB - KC ,29.70,J. Conner RB - PIT ,15.30,A. Kamara RB - NO ,23.00,D. Hopkins WR - ARI ,25.10,O. Beckham WR - CLE ,11.42,C. Lamb WR - DAL ,20.70,D. Waller TE - LV ,15.80,R. Jones RB - TB ,15.50,D. Carlson K - LV ,10.00,Seahawks DEF ,7.00,R. Gronkowski TE - TB ,8.20,A. Green WR - CIN ,0.00,A. Jeffery WR - PHI ,0.00,J. Landry WR - CLE ,12.80,D. Henderson RB - LA ,21.80,D. Swift RB - DET ,0.00,S. Michel RB - NE ,0.00,-,-,173.52,Jake,163.26
Nolan,1,R. Wilson QB - SEA ,24.48,C. Carson RB - SEA ,19.90,J. Jacobs RB - LV ,22.50,W. Fuller WR - HOU ,15.80,D. Chark WR - JAX ,4.60,D. Metcalf WR - SEA ,27.30,E. Ebron TE - PIT ,7.30,E. Elliott RB - DAL ,23.50,R. Gould K - SF ,5.00,Ravens DEF ,26.00,G. Bernard RB - CIN ,1.40,L. Fournette RB - TB ,0.00,J. Smith TE - TEN ,21.00,R. Gage WR - ATL ,3.60,D. Slayton WR - NYG ,20.90,M. Crosby K - GB ,0.00,-,-,-,-,176.38,Matt,137.56
Jess,10,J. Herbert QB - LAC ,27.36,M. Ingram RB - BAL View News ,5.70,D. Montgomery RB - CHI ,18.90,J. Smith-Schuster WR - PIT ,6.80,D. Moore WR - CAR ,19.30,H. Renfrow WR - LV ,5.20,A. Hooper TE - CLE ,10.70,D. Henry RB - TEN ,19.30,H. Butker K - KC ,6.00,Chiefs DEF ,-1.00,J. Cook TE - NO ,13.20,J. Jones WR - ATL ,0.00,M. Jones WR - DET ,0.00,M. Gordon RB - DEN ,0.00,C. Wentz QB - PHI ,17.42,T. Coleman RB - SF ,0.00,S. Shepard WR - NYG ,0.00,-,-,118.26,Liam,121.34
Sam,6,K. Murray QB - ARI ,26.30,D. Cook RB - MIN ,19.90,J. Robinson RB - JAX ,10.00,D. Parker WR - MIA ,13.00,J. Crowder WR - NYJ ,26.40,T. McLaurin WR - WAS ,5.60,D. Schultz TE - DAL ,1.60,A. Gibson RB - WAS ,10.10,C. Boswell K - PIT ,9.00,Colts DEF ,11.00,R. Woods WR - LA ,17.10,S. Diggs WR - BUF ,20.60,K. Golladay WR - DET ,0.00,N. Hines RB - IND ,5.70,D. Harris RB - NE ,0.00,D. Samuel WR - SF ,4.20,-,-,-,-,132.90,Graham,151.52
f,9,D. Prescott QB - DAL View News ,13.44,J. McKinnon RB - SF ,2.50,D. Johnson RB - HOU ,12.30,T. Boyd WR - CIN ,8.20,P. Williams WR - MIA ,20.60,H. Ruggs WR - LV ,20.70,T. Kelce TE - KC ,24.80,M. Gaskin RB - MIA ,20.10,J. Slye K - CAR ,11.00,Steelers DEF ,8.00,J. Graham TE - CHI ,12.30,C. Newton QB - NE ,0.00,D. Lewis RB - NYG ,2.10,B. Scott RB - PHI ,5.10,N. Fant TE - DEN ,0.00,N. Harry WR - NE ,0.00,S. Barkley RB - NYG ,0.00,-,-,141.64,Lucas,79.00
