Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Jake,4,D. Watson QB - HOU ,24.16,M. Davis RB - CAR ,8.60,K. Hunt RB - CLE ,19.20,T. Lockett WR - SEA ,53.90,R. Anderson WR - CAR ,13.40,T. Fulgham WR - PHI ,12.30,T. Hockenson TE - DET ,16.90,A. Brown WR - TEN ,27.30,G. Gano K - NYG ,3.00,Patriots DEF ,6.00,H. Henry TE - LAC ,5.30,M. Thomas WR - NO ,0.00,A. Jones RB - GB ,0.00,J. Jackson RB - LAC ,10.50,M. Sanders RB - PHI ,0.00,R. Blankenship K - IND ,0.00,A. Lazard WR - GB ,0.00,-,-,184.76,Jess,172.06
Lucas,5,M. Ryan QB - ATL ,17.52,A. Peterson RB - DET ,4.00,D. Singletary RB - BUF ,6.70,A. Cooper WR - DAL ,15.50,C. Godwin WR - TB ,23.80,M. Gallup WR - DAL ,0.00,D. Schultz TE - DAL ,4.20,C. Kirk WR - ARI ,21.70,R. Bullock K - CIN ,10.00,49ers DEF ,17.00,J. Brown WR - BUF ,0.00,R. Mostert RB - SF ,0.00,L. Jackson QB - BAL ,0.00,M. Andrews TE - BAL ,0.00,J. Jefferson WR - MIN ,0.00,J. Tucker K - BAL ,0.00,C. McCaffrey RB - CAR ,0.00,D. Goedert TE - PHI ,0.00,120.42,Matt,144.32
Graham,8,A. Rodgers QB - GB ,27.32,D. Freeman RB - NYG ,0.80,K. Drake RB - ARI ,5.10,M. Evans WR - TB ,5.70,T. Hill WR - KC ,17.50,C. Ridley WR - ATL ,19.90,H. Hurst TE - ATL ,12.80,D. Johnson WR - PIT ,29.00,Z. Gonzalez K - ARI ,16.00,Rams DEF ,15.00,L. Murray RB - NO ,6.60,A. Thielen WR - MIN ,0.00,L. Fournette RB - TB ,15.70,C. Edmonds RB - ARI ,23.60,J. Taylor RB - IND ,0.00,C. Akers RB - LA ,0.00,R. Armstead RB - JAX ,0.00,-,-,149.12,Liam,152.38
Liam,7,J. Allen QB - BUF ,16.38,T. Gurley RB - ATL ,22.20,P. Lindsay RB - DEN ,7.90,D. Adams WR - GB ,44.60,C. Kupp WR - LA View News ,11.90,T. Smith WR - NO View News ,9.40,R. Tonyan TE - GB ,5.20,T. Higgins WR - CIN ,18.80,Y. Koo K - ATL ,2.00,Bills DEF ,14.00,J. Landry WR - CLE ,10.96,M. Hardman WR - KC ,11.10,T. Pollard RB - DAL ,12.90,J. Jeudy WR - DEN ,4.00,L. Shenault WR - JAX ,7.40,J. Kelley RB - LAC ,10.30,E. Sanders WR - NO ,0.00,A. Ekeler RB - LAC ,0.00,152.38,Graham,149.12
Matt,2,B. Roethlisberger QB - PIT View News ,12.62,G. Bernard RB - CIN ,23.00,J. Williams RB - GB ,21.40,K. Allen WR - LAC ,22.50,B. Cooks WR - HOU ,13.00,A. Robinson WR - CHI ,11.00,G. Kittle TE - SF ,10.50,C. Edwards-Helaire RB - KC ,13.30,W. Lutz K - NO ,11.00,Buccaneers DEF ,6.00,J. Edelman WR - NE ,2.30,L. Bell RB - KC ,3.90,J. White RB - NE ,1.30,J. Mixon RB - CIN ,0.00,M. Brown WR - BAL ,0.00,J. Dobbins RB - BAL ,0.00,A. Brown WR - TB ,0.00,N. Chubb RB - CLE ,0.00,144.32,Lucas,120.42
Kevin,1,P. Mahomes QB - KC ,12.00,J. Conner RB - PIT ,14.10,R. Jones RB - TB ,10.60,D. Hopkins WR - ARI ,24.30,T. McLaurin WR - WAS ,22.00,C. Lamb WR - DAL ,0.10,D. Waller TE - LV ,17.00,A. Kamara RB - NO ,22.80,D. Carlson K - LV ,9.00,Packers DEF ,6.00,A. Green WR - CIN ,15.20,T. Hilton WR - IND ,0.00,D. Henderson RB - LA ,9.60,T. Tagovailoa QB - MIA ,0.00,Colts DEF ,0.00,S. Michel RB - NE ,0.00,-,-,-,-,137.90,f,72.76
Nolan,3,R. Wilson QB - SEA ,29.92,E. Elliott RB - DAL ,6.10,C. Carson RB - SEA ,5.10,W. Fuller WR - HOU ,12.50,D. Metcalf WR - SEA ,4.30,C. Claypool WR - PIT ,0.80,J. Smith TE - TEN ,1.90,J. Jacobs RB - LV ,6.10,M. Crosby K - GB ,5.00,Browns DEF ,7.00,E. Ebron TE - PIT ,11.00,M. Williams WR - LAC ,1.40,D. Chark WR - JAX ,3.60,R. Gage WR - ATL ,11.40,D. Slayton WR - NYG ,4.30,Ravens DEF ,0.00,-,-,-,-,78.72,Sam,154.10
Jess,9,C. Wentz QB - PHI ,27.76,D. Henry RB - TEN ,15.20,D. Montgomery RB - CHI ,11.90,J. Jones WR - ATL ,17.70,M. Jones WR - DET ,13.00,D. Moore WR - CAR ,25.30,J. Cook TE - NO ,12.20,M. Gordon RB - DEN ,12.00,H. Butker K - KC ,13.00,Chiefs DEF ,24.00,M. Ingram RB - BAL View News ,0.00,A. Hooper TE - CLE ,0.00,J. Smith-Schuster WR - PIT ,17.50,H. Renfrow WR - LV ,8.20,J. Herbert QB - LAC ,38.48,T. Coleman RB - SF ,0.00,S. Shepard WR - NYG ,17.90,-,-,172.06,Jake,184.76
Sam,6,K. Murray QB - ARI ,37.10,D. Swift RB - DET ,14.80,J. Robinson RB - JAX ,31.70,R. Woods WR - LA ,5.50,S. Diggs WR - BUF ,10.80,K. Golladay WR - DET ,17.40,D. Fells TE - HOU ,0.00,A. Gibson RB - WAS ,18.80,R. Gould K - SF ,9.00,Eagles DEF ,9.00,D. Parker WR - MIA ,0.00,J. Crowder WR - NYJ ,0.00,D. Cook RB - MIN ,0.00,T. Patrick WR - DEN ,7.40,D. Harris RB - NE ,8.00,D. Samuel WR - SF ,12.20,-,-,-,-,154.10,Nolan,78.72
f,10,C. Newton QB - NE ,-0.18,J. McKinnon RB - SF ,-0.10,D. Johnson RB - HOU ,16.40,T. Boyd WR - CIN ,27.74,K. Cole WR - JAX ,2.20,H. Ruggs WR - LV ,6.50,T. Kelce TE - KC ,6.10,J. Graham TE - CHI ,8.10,B. McManus K - DEN ,4.00,Steelers DEF ,2.00,R. Tannehill QB - TEN ,17.30,J. McKissic RB - WAS ,7.10,B. Scott RB - PHI ,18.20,M. Gaskin RB - MIA ,0.00,N. Fant TE - DEN ,6.80,P. Williams WR - MIA ,0.00,S. Barkley RB - NYG ,0.00,J. Slye K - CAR ,7.00,72.76,Kevin,137.90
