Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Jake,5,D. Watson QB - HOU ,24.24,A. Jones RB - GB ,12.90,C. Edwards-Helaire RB - KC ,12.40,T. Lockett WR - SEA ,8.00,M. Thomas WR - NO ,10.10,R. Anderson WR - CAR ,15.30,T. Hockenson TE - DET ,14.90,H. Henry TE - LAC ,7.30,R. Blankenship K - IND ,5.00,Patriots DEF ,3.00,D. Carr QB - LV ,14.00,M. Davis RB - CAR ,8.70,K. Hunt RB - CLE ,0.00,W. Gallman RB - NYG ,14.70,T. Fulgham WR - PHI ,0.00,M. Sanders RB - PHI ,0.00,A. Lazard WR - GB ,0.00,-,-,113.14,f,112.12
Lucas,6,L. Jackson QB - BAL ,18.60,C. McCaffrey RB - CAR ,37.10,D. Singletary RB - BUF ,6.40,J. Brown WR - BUF ,17.90,A. Cooper WR - DAL ,12.50,J. Jefferson WR - MIN ,9.40,M. Andrews TE - BAL ,5.20,M. Gallup WR - DAL ,6.60,J. Tucker K - BAL ,7.00,49ers DEF ,0.00,M. Ryan QB - ATL ,22.36,A. Peterson RB - DET ,7.30,C. Godwin WR - TB ,7.10,C. Kirk WR - ARI ,22.90,D. Schultz TE - DAL ,8.80,R. Bullock K - CIN ,0.00,R. Mostert RB - SF ,0.00,D. Goedert TE - PHI ,0.00,120.70,Sam,148.42
Graham,7,A. Rodgers QB - GB ,28.90,C. Edmonds RB - ARI ,11.80,J. Jackson RB - LAC ,0.00,A. Thielen WR - MIN ,5.80,T. Hill WR - KC ,33.10,D. Johnson WR - PIT ,14.10,H. Hurst TE - ATL ,13.20,M. Evans WR - TB ,10.40,R. Succop K - TB ,4.00,Football Team DEF ,5.00,L. Murray RB - NO ,6.20,K. Drake RB - ARI ,0.00,L. Fournette RB - TB ,10.10,M. Breida RB - MIA ,0.00,C. Ridley WR - ATL ,0.00,J. Taylor RB - IND ,9.40,R. Armstead RB - JAX ,0.00,-,-,126.30,Jess,94.64
Liam,8,J. Allen QB - BUF ,36.00,T. Gurley RB - ATL ,13.50,T. Pollard RB - DAL ,9.10,D. Adams WR - GB ,33.30,C. Davis WR - TEN ,0.00,L. Shenault WR - JAX ,0.90,R. Tonyan TE - GB ,1.50,J. Jeudy WR - DEN ,25.50,Y. Koo K - ATL ,12.00,Packers DEF ,6.00,E. Sanders WR - NO ,13.80,J. Landry WR - CLE ,0.00,C. Kupp WR - LA View News ,0.00,P. Lindsay RB - DEN ,2.30,N. Hines RB - IND ,7.90,T. Higgins WR - CIN ,0.00,A. Ekeler RB - LAC ,0.00,-,-,137.80,Nolan,156.00
Matt,3,T. Brady QB - TB ,2.36,L. Bell RB - KC ,1.30,J. Dobbins RB - BAL ,5.50,K. Allen WR - LAC ,25.30,A. Robinson WR - CHI ,15.10,A. Brown WR - TEN ,20.10,E. Engram TE - NYG ,15.80,A. Brown WR - TB ,6.10,W. Lutz K - NO ,8.00,Buccaneers DEF ,1.00,G. Bernard RB - CIN ,0.00,B. Cooks WR - HOU ,17.30,J. White RB - NE ,6.40,A. Hooper TE - CLE ,0.00,J. Mixon RB - CIN ,0.00,M. Brown WR - BAL ,6.80,G. Kittle TE - SF ,0.00,N. Chubb RB - CLE ,0.00,100.56,Kevin,127.58
Kevin,1,P. Mahomes QB - KC ,31.48,J. Conner RB - PIT ,4.00,R. Jones RB - TB ,4.80,D. Hopkins WR - ARI ,6.00,T. McLaurin WR - WAS ,24.50,C. Lamb WR - DAL ,15.70,D. Waller TE - LV ,13.20,A. Kamara RB - NO ,15.90,D. Carlson K - LV ,7.00,Colts DEF ,5.00,A. Green WR - CIN ,0.00,T. Hilton WR - IND ,0.00,C. Beasley WR - BUF ,6.90,M. Williams WR - LAC ,13.10,D. Henderson RB - LA ,0.00,T. Tagovailoa QB - MIA ,21.42,S. Michel RB - NE ,0.00,B. Aiyuk WR - SF ,0.00,127.58,Matt,100.56
Nolan,2,R. Wilson QB - SEA ,22.10,E. Elliott RB - DAL ,8.90,J. Jacobs RB - LV ,13.80,W. Fuller WR - HOU ,21.00,D. Metcalf WR - SEA ,23.80,C. Claypool WR - PIT ,15.30,J. Smith TE - TEN ,11.20,D. Dallas RB - SEA ,11.90,J. Sanders K - MIA ,14.00,Ravens DEF ,14.00,N. Agholor WR - LV ,13.50,R. Higgins WR - CLE ,0.00,C. Carson RB - SEA ,0.00,D. Chark WR - JAX ,27.60,D. Slayton WR - NYG ,1.80,Browns DEF ,0.00,-,-,-,-,156.00,Liam,137.80
Jess,9,J. Herbert QB - LAC ,23.44,D. Henry RB - TEN ,6.80,D. Montgomery RB - CHI ,5.20,J. Jones WR - ATL ,16.40,J. Smith-Schuster WR - PIT ,21.30,D. Moore WR - CAR ,3.80,J. Cook TE - NO ,3.00,M. Gordon RB - DEN ,3.70,H. Butker K - KC ,10.00,Chiefs DEF ,1.00,M. Ingram RB - BAL View News ,0.00,M. Jones WR - DET ,13.30,T. Coleman RB - SF ,0.00,C. Wentz QB - PHI ,0.00,S. Shepard WR - NYG ,11.70,H. Renfrow WR - LV ,10.50,J. Williams RB - GB ,0.00,-,-,94.64,Graham,126.30
Sam,4,K. Murray QB - ARI ,37.92,D. Cook RB - MIN ,39.20,J. Robinson RB - JAX ,15.90,J. Crowder WR - NYJ ,10.60,S. Diggs WR - BUF ,20.80,M. Hardman WR - KC ,8.40,R. Gronkowski TE - TB ,1.20,J. Hasty RB - SF ,5.40,Z. Gonzalez K - ARI ,7.00,Cardinals DEF ,2.00,R. Woods WR - LA ,0.00,D. Parker WR - MIA ,12.40,K. Golladay WR - DET ,0.00,C. Samuel WR - CAR ,26.80,D. Swift RB - DET ,12.70,A. Gibson RB - WAS ,12.50,Z. Ertz TE - PHI ,0.00,R. Penny RB - SEA ,0.00,148.42,Lucas,120.70
f,10,R. Tannehill QB - TEN ,14.62,J. McKinnon RB - SF ,18.80,D. Johnson RB - HOU ,1.60,K. Cole WR - JAX ,2.00,P. Williams WR - MIA ,16.00,H. Ruggs WR - LV ,1.00,T. Kelce TE - KC ,25.90,J. McKissic RB - WAS ,17.20,J. Slye K - CAR ,8.00,Steelers DEF ,7.00,J. Graham TE - CHI ,17.50,C. Newton QB - NE ,24.56,T. Boyd WR - CIN ,0.00,B. Scott RB - PHI ,0.00,N. Fant TE - DEN ,7.50,S. Barkley RB - NYG ,0.00,M. Gaskin RB - MIA ,0.00,-,-,112.12,Jake,113.14
